step	cyano	ecw	
0	50	50	
100	50	83	
200	50	102	
300	50	102	
400	50	102	
500	51	103	
600	54	103	
700	54	104	
800	54	104	
900	55	104	
1000	57	104	
1100	58	104	
1200	59	105	
1300	59	105	
1400	59	105	
1500	62	108	
1600	62	108	
1700	63	108	
1800	65	110	
1900	65	111	
2000	65	112	
2100	66	114	
2200	66	114	
2300	67	115	
2400	67	116	
2500	67	116	
2600	67	119	
2700	67	119	
2800	67	121	
2900	67	121	
3000	68	122	
3100	68	126	
3200	68	129	
3300	68	130	
3400	69	131	
3500	70	132	
3600	70	136	
3700	70	139	
3800	70	144	
3900	72	145	
4000	72	147	
4100	72	147	
4200	73	148	
4300	73	152	
4400	74	156	
4500	75	162	
4600	76	167	
4700	76	174	
4800	78	176	
4900	80	182	
5000	80	186	
5100	81	188	
5200	86	192	
5300	86	195	
5400	87	200	
5500	87	206	
5600	90	214	
5700	92	220	
5800	94	223	
5900	94	230	
6000	97	237	
6100	97	242	
6200	98	245	
6300	99	249	
6400	102	251	
6500	103	262	
6600	107	267	
6700	107	279	
6800	109	288	
6900	113	297	
7000	114	314	
7100	115	318	
7200	116	329	
7300	116	341	
7400	116	352	
7500	122	363	
7600	122	374	
7700	124	390	
7800	128	405	
7900	131	415	
8000	133	426	
8100	135	431	
8200	135	447	
8300	136	463	
8400	137	480	
8500	138	498	
8600	138	509	
8700	139	524	
8800	141	539	
8900	141	560	
9000	141	585	
9100	143	601	
9200	144	629	
9300	145	654	
9400	146	677	
9500	149	698	
9600	149	732	
9700	151	754	
9800	152	781	
9900	152	813	
10000	158	841	
10100	158	871	
10200	161	902	
10300	161	938	
10400	164	970	
10500	165	1002	
10600	169	1030	
10700	171	1077	
10800	176	1114	
10900	178	1161	
11000	185	1209	
11100	187	1259	
11200	191	1298	
11300	193	1348	
11400	196	1400	
11500	199	1458	
11600	203	1519	
11700	207	1582	
11800	209	1637	
11900	213	1702	
12000	215	1766	
12100	219	1834	
12200	222	1911	
12300	224	1979	
12400	229	2060	
12500	234	2143	
12600	238	2229	
12700	241	2322	
12800	244	2395	
12900	248	2485	
13000	254	2578	
13100	254	2670	
13200	256	2783	
13300	260	2901	
13400	262	3018	
13500	265	3126	
13600	267	3238	
13700	269	3353	
13800	273	3475	
13900	276	3593	
14000	281	3747	
14100	284	3905	
14200	284	4043	
14300	290	4189	
14400	291	4333	
14500	294	4484	
14600	294	4630	
14700	295	4788	
14800	298	4965	
14900	300	5131	
15000	304	5307	
15100	308	5484	
15200	310	5662	
15300	314	5842	
15400	322	6016	
15500	326	6178	
15600	331	6372	
15700	337	6571	
15800	343	6750	
15900	349	6937	
16000	353	7118	
16100	357	7271	
16200	365	7460	
16300	373	7624	
16400	380	7762	
16500	382	7940	
16600	386	8100	
16700	393	8302	
16800	402	8482	
16900	410	8665	
17000	416	8813	
17100	425	8979	
17200	429	9134	
17300	434	9295	
17400	442	9434	
17500	449	9579	
17600	449	9726	
17700	462	9882	
17800	467	10056	
17900	478	10195	
18000	488	10358	
18100	492	10514	
18200	500	10700	
18300	502	10872	
18400	511	11034	
18500	514	11214	
18600	517	11368	
18700	521	11560	
18800	530	11739	
18900	534	11923	
19000	537	12070	
19100	542	12237	
19200	543	12393	
19300	555	12579	
19400	559	12777	
19500	566	12962	
19600	574	13163	
19700	590	13337	
19800	594	13528	
19900	599	13732	
20000	602	13921	
20100	610	14131	
20200	618	14348	
20300	622	14552	
20400	629	14735	
20500	642	14936	
20600	651	15154	
20700	663	15357	
20800	671	15582	
20900	685	15818	
21000	692	16050	
21100	701	16273	
21200	707	16475	
21300	713	16702	
21400	719	16943	
21500	731	17192	
21600	745	17423	
21700	760	17681	
21800	770	17929	
21900	778	18189	
22000	784	18468	
22100	803	18714	
22200	813	18971	
22300	827	19215	
22400	840	19507	
22500	852	19788	
22600	871	20041	
22700	886	20293	
22800	897	20579	
22900	907	20864	
23000	920	21155	
23100	932	21474	
23200	952	21770	
23300	964	22085	
23400	969	22383	
23500	983	22685	
23600	993	22991	
23700	1005	23324	
23800	1016	23644	
23900	1030	23988	
24000	1041	24308	
24100	1061	24622	
24200	1071	24961	
24300	1088	25278	
24400	1100	25643	
24500	1110	26008	
24600	1123	26372	
24700	1146	26762	
24800	1158	27125	
24900	1174	27477	
25000	1188	27843	
25100	1197	28245	
25200	1211	28628	
25300	1224	29058	
25400	1236	29420	
25500	1244	29811	
25600	1254	30211	
25700	1280	30657	
25800	1295	31067	
25900	1312	31463	
26000	1332	31861	
26100	1350	32252	
26200	1371	32673	
26300	1385	33105	
26400	1408	33571	
26500	1428	34022	
26600	1448	34506	
26700	1462	34961	
26800	1478	35430	
26900	1500	35938	
27000	1528	36439	
27100	1545	36931	
27200	1564	37434	
27300	1594	37921	
27400	1608	38384	
27500	1642	38877	
27600	1662	39417	
27700	1696	39994	
27800	1711	40518	
27900	1733	41046	
28000	1761	41620	
28100	1788	42172	
28200	1812	42764	
28300	1830	43306	
28400	1857	43882	
28500	1878	44492	
28600	1904	45078	
28700	1925	45630	
28800	1948	46240	
28900	1980	46887	
29000	2005	47506	
29100	2025	48126	
29200	2046	48795	
29300	2075	49446	
29400	2094	50081	
29500	2122	50762	
29600	2139	51396	
29700	2167	52050	
29800	2196	52754	
29900	2224	53388	
30000	2252	54030	
30100	2284	54693	
30200	2311	55406	
30300	2346	56175	
30400	2377	56916	
30500	2409	57695	
30600	2430	58450	
30700	2469	59245	
30800	2500	60055	
30900	2519	60835	
31000	2549	61637	
31100	2577	62439	
31200	2603	63236	
31300	2627	64014	
31400	2667	64796	
31500	2718	65644	
31600	2755	66479	
31700	2791	67330	
31800	2828	68139	
31900	2865	69076	
32000	2901	69968	
32100	2936	70896	
32200	2978	71775	
32300	3014	72732	
32400	3038	73712	
32500	3077	74642	
32600	3118	75613	
32700	3160	76538	
32800	3195	77479	
32900	3230	78457	
33000	3272	79393	
33100	3310	80400	
33200	3355	81368	
33300	3411	82442	
33400	3456	83461	
33500	3499	84477	
33600	3529	85544	
33700	3573	86597	
33800	3620	87629	
33900	3656	88713	
34000	3691	89736	
34100	3736	90716	
34200	3776	91843	
34300	3813	92937	
34400	3870	93963	
34500	3913	95152	
34600	3953	96281	
34700	3988	97451	
34800	4043	98624	
34900	4066	99744	
35000	4100	100889	
