step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.003712e-03	7.060373e-03	2.989382e-02	
200	1.000000e-01	9.003775e-03	1.401959e-02	2.989371e-02	
300	1.000000e-01	9.003840e-03	2.109590e-02	2.989361e-02	
400	1.000000e-01	9.003905e-03	2.829236e-02	2.989350e-02	
500	1.000000e-01	9.003972e-03	3.561128e-02	2.989339e-02	
600	1.000000e-01	9.004014e-03	4.305485e-02	2.989332e-02	
700	1.000000e-01	9.004083e-03	5.062527e-02	2.989320e-02	
800	1.000000e-01	9.004152e-03	5.832474e-02	2.989309e-02	
900	1.000000e-01	9.004223e-03	6.615547e-02	2.989297e-02	
1000	1.000000e-01	9.004295e-03	7.411970e-02	2.989285e-02	
1100	1.000000e-01	9.004368e-03	8.221972e-02	2.989273e-02	
1200	1.000000e-01	9.004443e-03	9.045786e-02	2.989260e-02	
1300	1.000000e-01	9.004519e-03	9.883646e-02	2.989248e-02	
1400	1.000000e-01	9.004596e-03	1.073579e-01	2.989235e-02	
1500	1.000000e-01	9.004674e-03	1.160247e-01	2.989222e-02	
1600	1.000000e-01	9.004754e-03	1.248393e-01	2.989208e-02	
1700	1.000000e-01	9.004835e-03	1.338042e-01	2.989195e-02	
1800	1.000000e-01	9.004917e-03	1.429220e-01	2.989181e-02	
1900	1.000000e-01	9.005001e-03	1.521953e-01	2.989167e-02	
2000	1.000000e-01	9.005102e-03	1.616267e-01	2.989151e-02	
2100	1.000000e-01	9.005189e-03	1.712189e-01	2.989136e-02	
2200	1.000000e-01	9.005277e-03	1.809747e-01	2.989121e-02	
2300	1.000000e-01	9.005367e-03	1.908970e-01	2.989106e-02	
2400	1.000000e-01	9.005459e-03	2.009884e-01	2.989091e-02	
2500	1.000000e-01	9.005552e-03	2.112520e-01	2.989076e-02	
2600	1.000000e-01	9.005640e-03	2.216906e-01	2.989061e-02	
2700	1.000000e-01	9.005736e-03	2.323072e-01	2.989045e-02	
2800	1.000000e-01	9.005834e-03	2.431049e-01	2.989029e-02	
2900	1.000000e-01	9.005933e-03	2.540867e-01	2.989012e-02	
3000	1.000000e-01	9.006035e-03	2.652559e-01	2.988995e-02	
3100	1.000000e-01	9.006138e-03	2.766155e-01	2.988978e-02	
3200	1.000000e-01	9.006242e-03	2.881689e-01	2.988961e-02	
