step	cyano	ecw	
0	50	50	
100	50	90	
200	50	110	
300	50	110	
400	50	110	
500	51	110	
600	52	110	
700	53	110	
800	53	110	
900	55	110	
1000	56	110	
1100	56	110	
1200	56	110	
1300	56	110	
1400	56	110	
1500	57	110	
1600	58	110	
1700	60	110	
1800	61	110	
1900	61	110	
2000	61	111	
2100	61	111	
2200	62	111	
2300	64	111	
2400	64	111	
2500	65	111	
2600	65	111	
2700	65	111	
2800	65	111	
2900	65	111	
3000	66	111	
3100	67	111	
3200	67	112	
3300	67	112	
3400	69	114	
3500	69	114	
3600	69	114	
3700	71	114	
3800	71	114	
3900	71	114	
4000	71	115	
4100	74	115	
4200	74	116	
4300	74	116	
4400	74	117	
4500	76	118	
4600	77	118	
4700	78	118	
4800	79	118	
4900	81	118	
5000	82	118	
5100	84	118	
5200	84	118	
5300	84	119	
5400	86	120	
5500	87	121	
5600	90	121	
5700	92	121	
5800	96	121	
5900	99	121	
6000	100	121	
6100	100	123	
6200	100	123	
6300	100	123	
6400	100	124	
6500	102	125	
6600	105	127	
6700	108	128	
6800	108	129	
6900	109	130	
7000	110	130	
7100	113	131	
7200	116	132	
7300	117	133	
7400	118	134	
7500	119	135	
7600	121	137	
7700	121	137	
7800	124	137	
7900	125	138	
8000	126	140	
8100	128	140	
8200	132	141	
8300	133	141	
8400	133	141	
8500	135	141	
8600	137	141	
8700	138	141	
8800	140	141	
8900	140	141	
9000	142	142	
9100	144	142	
9200	147	142	
9300	147	144	
9400	148	144	
9500	150	145	
9600	152	145	
9700	153	145	
9800	155	147	
9900	158	151	
10000	159	152	
10100	162	153	
10200	164	155	
10300	166	155	
10400	166	155	
10500	168	156	
10600	171	156	
10700	175	156	
10800	177	159	
10900	178	160	
11000	181	161	
11100	186	164	
11200	187	166	
11300	190	168	
11400	193	169	
11500	199	169	
11600	200	172	
11700	202	173	
11800	205	174	
11900	211	175	
12000	213	175	
12100	217	177	
12200	219	179	
12300	225	181	
12400	231	181	
12500	233	182	
12600	237	185	
12700	240	186	
12800	243	188	
12900	246	190	
13000	249	191	
13100	249	195	
13200	251	195	
13300	257	196	
13400	259	200	
13500	262	201	
13600	263	201	
13700	265	203	
13800	268	205	
13900	271	207	
14000	274	209	
14100	277	209	
14200	280	211	
14300	285	211	
14400	290	213	
14500	294	214	
14600	297	217	
14700	301	219	
14800	303	220	
14900	306	220	
15000	311	221	
15100	315	221	
15200	317	227	
15300	322	231	
15400	328	236	
15500	332	241	
15600	335	245	
15700	340	247	
15800	345	249	
15900	354	250	
16000	357	252	
16100	360	253	
16200	363	254	
16300	368	255	
16400	378	258	
16500	382	260	
16600	388	260	
16700	391	263	
16800	399	264	
16900	402	266	
17000	407	267	
17100	415	271	
17200	419	273	
17300	429	276	
17400	437	278	
17500	442	281	
17600	450	286	
17700	460	288	
17800	464	289	
17900	468	292	
18000	474	293	
18100	479	297	
18200	485	298	
18300	489	302	
18400	497	304	
18500	504	308	
18600	511	311	
18700	520	313	
18800	528	317	
18900	534	321	
19000	537	321	
19100	545	327	
19200	552	330	
19300	556	332	
19400	560	335	
19500	565	343	
19600	574	347	
19700	577	349	
19800	586	351	
19900	595	356	
20000	603	362	
20100	607	364	
20200	618	369	
20300	625	376	
20400	635	378	
20500	642	382	
20600	649	384	
20700	658	386	
20800	668	388	
20900	677	391	
21000	688	394	
21100	699	398	
21200	711	402	
21300	717	403	
21400	726	409	
21500	737	413	
21600	747	417	
21700	760	421	
21800	772	425	
21900	779	428	
22000	791	436	
22100	802	446	
22200	812	453	
22300	822	457	
22400	828	460	
22500	842	462	
22600	856	467	
22700	873	468	
22800	885	472	
22900	901	476	
23000	910	479	
23100	917	481	
23200	928	484	
23300	940	487	
23400	955	493	
23500	968	501	
23600	977	505	
23700	991	513	
23800	1006	520	
23900	1023	523	
24000	1039	531	
24100	1049	536	
24200	1062	538	
24300	1077	545	
24400	1092	549	
24500	1101	554	
24600	1114	562	
24700	1127	567	
24800	1145	571	
24900	1157	580	
25000	1168	583	
25100	1173	594	
25200	1186	602	
25300	1199	610	
25400	1214	616	
25500	1229	618	
25600	1255	623	
25700	1279	626	
25800	1304	634	
25900	1322	640	
26000	1335	649	
26100	1352	659	
26200	1373	669	
26300	1392	677	
26400	1404	687	
26500	1423	694	
26600	1435	699	
26700	1454	704	
26800	1480	709	
26900	1502	718	
27000	1519	726	
27100	1540	729	
27200	1553	735	
27300	1580	743	
27400	1604	751	
27500	1626	761	
27600	1642	767	
27700	1667	781	
27800	1688	791	
27900	1716	797	
28000	1744	801	
28100	1767	809	
28200	1788	816	
28300	1812	828	
28400	1838	837	
28500	1860	846	
28600	1888	856	
28700	1908	863	
28800	1941	868	
28900	1956	874	
29000	1979	883	
29100	2006	888	
29200	2025	899	
29300	2057	908	
29400	2076	922	
29500	2108	931	
29600	2134	947	
29700	2162	957	
29800	2194	966	
29900	2222	981	
30000	2251	984	
30100	2279	992	
30200	2310	1003	
30300	2331	1012	
30400	2364	1024	
30500	2395	1034	
30600	2423	1041	
30700	2452	1054	
30800	2491	1069	
30900	2527	1082	
31000	2553	1092	
31100	2576	1103	
31200	2618	1117	
31300	2648	1131	
31400	2680	1144	
31500	2727	1154	
31600	2752	1169	
31700	2787	1183	
31800	2820	1194	
31900	2858	1212	
32000	2896	1226	
32100	2937	1236	
32200	2995	1245	
32300	3033	1260	
32400	3067	1272	
32500	3109	1284	
32600	3150	1302	
32700	3190	1312	
32800	3222	1331	
32900	3269	1340	
33000	3315	1348	
33100	3355	1358	
33200	3399	1373	
33300	3438	1387	
33400	3485	1402	
33500	3528	1420	
33600	3571	1436	
33700	3624	1461	
33800	3679	1470	
33900	3729	1494	
34000	3774	1509	
34100	3822	1523	
34200	3878	1543	
34300	3939	1564	
34400	3989	1583	
34500	4042	1597	
34600	4089	1609	
34700	4136	1620	
34800	4181	1640	
34900	4226	1660	
35000	4259	1675	
