step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.000804e-03	3.744991e-02	2.989866e-02	
200	1.000000e-01	9.000815e-03	7.422126e-02	2.989864e-02	
300	1.000000e-01	9.000825e-03	1.114729e-01	2.989862e-02	
400	1.000000e-01	9.000836e-03	1.492136e-01	2.989861e-02	
500	1.000000e-01	9.000849e-03	1.874504e-01	2.989859e-02	
600	1.000000e-01	9.000860e-03	2.261903e-01	2.989857e-02	
700	1.000000e-01	9.000872e-03	2.654401e-01	2.989855e-02	
800	1.000000e-01	9.000883e-03	3.052068e-01	2.989853e-02	
900	1.000000e-01	9.000895e-03	3.454972e-01	2.989851e-02	
1000	1.000000e-01	9.000907e-03	3.863184e-01	2.989849e-02	
1100	1.000000e-01	9.000919e-03	4.276775e-01	2.989847e-02	
1200	1.000000e-01	9.000931e-03	4.695818e-01	2.989845e-02	
1300	1.000000e-01	9.000943e-03	5.120385e-01	2.989843e-02	
1400	1.000000e-01	9.000956e-03	5.550553e-01	2.989841e-02	
1500	1.000000e-01	9.000969e-03	5.986394e-01	2.989839e-02	
1600	1.000000e-01	9.000981e-03	6.427985e-01	2.989837e-02	
1700	1.000000e-01	9.000994e-03	6.875402e-01	2.989834e-02	
1800	1.000000e-01	9.001004e-03	7.328722e-01	2.989833e-02	
1900	1.000000e-01	9.001017e-03	7.788026e-01	2.989831e-02	
2000	1.000000e-01	9.001032e-03	8.253393e-01	2.989828e-02	
2100	1.000000e-01	9.001045e-03	8.724904e-01	2.989826e-02	
2200	1.000000e-01	9.001064e-03	9.202641e-01	2.989823e-02	
2300	1.000000e-01	9.001078e-03	9.686688e-01	2.989820e-02	
2400	1.000000e-01	9.001092e-03	1.017713e+00	2.989818e-02	
2500	1.000000e-01	9.001107e-03	1.067405e+00	2.989816e-02	
2600	1.000000e-01	9.001122e-03	1.117753e+00	2.989813e-02	
2700	1.000000e-01	9.001136e-03	1.168767e+00	2.989811e-02	
2800	1.000000e-01	9.001151e-03	1.220456e+00	2.989808e-02	
2900	1.000000e-01	9.001173e-03	1.272827e+00	2.989805e-02	
3000	1.000000e-01	9.001188e-03	1.325891e+00	2.989802e-02	
3100	1.000000e-01	9.001204e-03	1.379656e+00	2.989799e-02	
3200	1.000000e-01	9.001220e-03	1.434133e+00	2.989797e-02	
3300	1.000000e-01	9.001231e-03	1.489329e+00	2.989795e-02	
3400	1.000000e-01	9.001247e-03	1.545256e+00	2.989792e-02	
3500	1.000000e-01	9.001264e-03	1.601923e+00	2.989789e-02	
3600	1.000000e-01	9.001281e-03	1.659339e+00	2.989787e-02	
3700	1.000000e-01	9.001298e-03	1.717515e+00	2.989784e-02	
