step	cyano	ecw	
0	50	50	
100	50	82	
200	50	94	
300	50	94	
400	51	94	
500	51	94	
600	54	94	
700	56	94	
800	56	94	
900	56	94	
1000	56	94	
1100	57	94	
1200	57	94	
1300	58	94	
1400	58	94	
1500	60	96	
1600	60	97	
1700	60	97	
1800	61	97	
1900	61	97	
2000	61	97	
2100	62	101	
2200	65	103	
2300	66	103	
2400	66	103	
2500	69	104	
2600	70	105	
2700	70	109	
2800	70	110	
2900	70	110	
3000	70	110	
3100	71	110	
3200	71	112	
3300	72	112	
3400	73	113	
3500	73	113	
3600	73	113	
3700	73	114	
3800	73	115	
3900	76	116	
4000	76	117	
4100	76	118	
4200	78	119	
4300	78	122	
4400	79	124	
4500	80	126	
4600	80	126	
4700	80	127	
4800	80	129	
4900	80	133	
5000	80	135	
5100	83	135	
5200	84	141	
5300	84	143	
5400	85	144	
5500	86	146	
5600	88	148	
5700	89	150	
5800	93	153	
5900	95	155	
6000	98	158	
6100	101	160	
6200	102	161	
6300	103	162	
6400	104	163	
6500	106	166	
6600	109	169	
6700	110	170	
6800	112	173	
6900	112	175	
7000	117	178	
7100	117	182	
7200	118	188	
7300	119	191	
7400	122	195	
7500	125	196	
7600	127	200	
7700	132	207	
7800	136	211	
7900	136	215	
8000	137	221	
8100	139	225	
8200	140	228	
8300	143	235	
8400	145	239	
8500	145	242	
8600	148	245	
8700	149	250	
8800	150	259	
8900	152	267	
9000	153	271	
9100	153	278	
9200	153	286	
9300	153	288	
9400	155	295	
9500	158	301	
9600	160	305	
9700	163	311	
9800	165	318	
9900	168	324	
10000	169	329	
10100	170	338	
10200	175	349	
10300	175	356	
10400	177	360	
10500	181	370	
10600	181	381	
10700	184	395	
10800	185	397	
10900	187	411	
11000	187	419	
11100	191	430	
11200	193	444	
11300	197	453	
11400	204	465	
11500	208	476	
11600	211	491	
11700	211	503	
11800	212	513	
11900	212	523	
12000	214	535	
12100	216	544	
12200	219	567	
12300	221	577	
12400	225	592	
12500	228	606	
12600	234	627	
12700	235	641	
12800	243	655	
12900	246	675	
13000	249	686	
13100	254	710	
13200	259	727	
13300	264	739	
13400	268	760	
13500	269	779	
13600	275	803	
13700	278	830	
13800	279	854	
13900	283	886	
14000	284	914	
14100	289	935	
14200	294	951	
14300	300	974	
14400	305	989	
14500	310	1018	
14600	312	1053	
14700	315	1086	
14800	319	1119	
14900	323	1150	
15000	328	1183	
15100	337	1216	
15200	339	1243	
15300	344	1273	
15400	350	1307	
15500	351	1343	
15600	354	1375	
15700	357	1426	
15800	364	1471	
15900	371	1514	
16000	377	1561	
16100	377	1601	
16200	381	1638	
16300	388	1691	
16400	391	1749	
16500	395	1800	
16600	401	1861	
16700	406	1906	
16800	408	1951	
16900	413	2002	
17000	418	2057	
17100	423	2115	
17200	429	2170	
17300	434	2241	
17400	437	2310	
17500	446	2376	
17600	452	2450	
17700	460	2519	
17800	466	2606	
17900	474	2684	
18000	481	2763	
18100	491	2840	
18200	500	2933	
18300	507	3024	
18400	510	3116	
18500	521	3214	
