step	cyano	ecw	
0	50	50	
100	50	87	
200	50	102	
300	50	102	
400	50	102	
500	50	102	
600	52	102	
700	52	102	
800	52	102	
900	53	102	
1000	53	102	
1100	54	102	
1200	54	102	
1300	54	102	
1400	54	102	
1500	54	102	
1600	54	102	
1700	55	102	
1800	55	102	
1900	55	102	
2000	56	102	
2100	58	102	
2200	58	102	
2300	59	102	
2400	59	102	
2500	59	102	
2600	61	102	
2700	61	102	
2800	61	102	
2900	62	102	
3000	63	102	
3100	66	102	
3200	66	102	
3300	67	102	
3400	67	102	
3500	69	102	
3600	69	102	
3700	69	102	
3800	69	102	
3900	70	102	
4000	70	102	
4100	71	102	
4200	72	102	
4300	72	102	
4400	72	102	
4500	74	102	
4600	75	102	
4700	75	102	
4800	76	102	
4900	78	102	
5000	78	102	
5100	78	102	
5200	79	102	
5300	81	102	
5400	84	102	
5500	85	102	
5600	86	102	
5700	86	102	
5800	89	102	
5900	90	102	
6000	90	102	
6100	95	102	
6200	96	102	
6300	96	102	
6400	99	102	
6500	101	102	
6600	102	102	
6700	103	102	
6800	106	102	
6900	107	103	
7000	108	103	
7100	110	106	
7200	110	106	
7300	113	106	
7400	113	106	
7500	113	106	
7600	115	106	
7700	116	106	
7800	117	106	
7900	122	106	
8000	123	106	
8100	123	106	
8200	124	106	
8300	128	106	
8400	130	106	
8500	131	106	
8600	131	106	
8700	134	106	
8800	134	106	
8900	135	106	
9000	138	106	
9100	140	106	
9200	142	106	
9300	142	106	
9400	146	106	
9500	148	106	
9600	150	106	
9700	152	106	
9800	153	106	
9900	154	106	
10000	156	106	
10100	158	106	
10200	160	106	
10300	162	106	
10400	163	106	
10500	166	106	
10600	168	108	
10700	170	108	
10800	173	109	
10900	174	109	
11000	177	110	
11100	178	110	
11200	184	110	
11300	187	110	
11400	188	110	
11500	191	110	
11600	193	110	
11700	198	110	
11800	199	110	
11900	202	110	
12000	205	110	
12100	206	110	
12200	211	110	
12300	212	110	
12400	217	111	
12500	223	111	
12600	224	111	
12700	228	111	
12800	232	111	
12900	234	111	
13000	235	111	
13100	237	111	
13200	240	111	
13300	242	111	
13400	244	111	
13500	249	111	
13600	255	111	
13700	258	111	
13800	259	111	
13900	263	111	
14000	264	111	
14100	267	112	
14200	271	112	
14300	275	112	
14400	279	113	
14500	282	113	
14600	286	113	
14700	290	114	
14800	294	114	
14900	295	114	
15000	300	114	
15100	303	114	
15200	308	114	
15300	313	115	
15400	316	115	
15500	320	115	
15600	322	116	
15700	325	116	
15800	328	116	
15900	335	116	
16000	342	116	
16100	347	117	
16200	352	117	
16300	358	118	
16400	365	118	
16500	369	118	
16600	371	119	
16700	377	119	
16800	385	119	
16900	391	119	
17000	399	119	
17100	403	120	
17200	408	120	
17300	412	120	
17400	420	120	
17500	424	121	
17600	429	121	
17700	433	121	
17800	439	122	
17900	443	122	
18000	452	122	
18100	458	122	
18200	465	122	
18300	471	123	
18400	480	124	
18500	487	124	
18600	491	124	
18700	497	125	
18800	503	125	
18900	507	126	
19000	514	126	
19100	520	126	
19200	527	126	
19300	534	128	
19400	539	130	
19500	549	130	
19600	553	130	
19700	559	130	
19800	563	132	
19900	570	132	
20000	580	132	
20100	583	132	
20200	589	132	
20300	598	132	
20400	605	132	
20500	614	133	
20600	620	133	
20700	631	133	
20800	638	133	
20900	651	133	
21000	663	134	
21100	676	134	
21200	685	134	
21300	695	134	
21400	709	135	
21500	716	135	
21600	728	135	
21700	735	135	
21800	741	136	
21900	748	136	
22000	759	138	
22100	770	139	
22200	777	139	
22300	788	139	
22400	796	139	
22500	804	140	
22600	813	140	
22700	826	140	
22800	837	140	
22900	849	140	
23000	865	140	
23100	881	141	
23200	893	141	
23300	910	141	
23400	919	141	
23500	932	141	
23600	952	141	
23700	966	142	
23800	981	142	
23900	989	143	
24000	998	143	
24100	1004	143	
24200	1020	143	
24300	1032	143	
24400	1045	143	
24500	1059	143	
24600	1074	144	
24700	1085	144	
24800	1096	144	
24900	1110	144	
25000	1120	145	
25100	1134	145	
25200	1148	145	
25300	1168	145	
25400	1184	148	
25500	1197	148	
25600	1211	149	
25700	1223	149	
25800	1244	150	
25900	1264	151	
26000	1279	151	
26100	1296	151	
26200	1313	151	
26300	1331	151	
26400	1352	151	
26500	1372	151	
26600	1389	153	
26700	1402	153	
26800	1421	153	
26900	1446	153	
27000	1461	153	
27100	1473	153	
27200	1498	153	
27300	1517	153	
27400	1536	153	
27500	1564	154	
27600	1593	154	
27700	1617	154	
27800	1639	154	
27900	1658	155	
28000	1682	155	
28100	1701	155	
28200	1718	156	
28300	1738	157	
28400	1769	157	
28500	1785	157	
28600	1807	158	
28700	1826	159	
28800	1859	160	
28900	1887	160	
29000	1907	162	
29100	1927	162	
29200	1953	162	
29300	1984	162	
29400	2009	162	
29500	2029	162	
29600	2067	163	
29700	2091	164	
29800	2114	165	
29900	2138	165	
30000	2168	165	
30100	2196	165	
30200	2224	165	
30300	2253	165	
30400	2284	166	
30500	2301	166	
30600	2341	166	
30700	2373	166	
30800	2400	166	
30900	2438	167	
31000	2468	168	
31100	2497	168	
31200	2529	168	
31300	2564	169	
31400	2599	169	
31500	2624	169	
31600	2652	169	
31700	2688	169	
31800	2741	169	
31900	2777	169	
32000	2810	169	
32100	2850	171	
32200	2881	174	
32300	2914	174	
32400	2953	174	
32500	2990	177	
32600	3032	177	
32700	3068	177	
32800	3108	178	
32900	3160	178	
33000	3205	179	
33100	3249	179	
33200	3289	179	
33300	3343	179	
33400	3382	179	
33500	3427	179	
33600	3480	179	
33700	3526	180	
33800	3568	182	
33900	3616	183	
34000	3659	185	
34100	3720	185	
34200	3766	186	
34300	3807	186	
34400	3852	186	
34500	3908	188	
34600	3959	188	
34700	4012	188	
34800	4065	188	
34900	4105	188	
35000	4150	189	
