step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.000811e-03	3.614349e-02	2.989865e-02	
200	1.000000e-01	9.000821e-03	7.162143e-02	2.989863e-02	
300	1.000000e-01	9.000832e-03	1.075536e-01	2.989861e-02	
400	1.000000e-01	9.000843e-03	1.439480e-01	2.989860e-02	
500	1.000000e-01	9.000858e-03	1.808115e-01	2.989857e-02	
600	1.000000e-01	9.000869e-03	2.181508e-01	2.989855e-02	
700	1.000000e-01	9.000880e-03	2.559724e-01	2.989853e-02	
800	1.000000e-01	9.000892e-03	2.942833e-01	2.989851e-02	
900	1.000000e-01	9.000906e-03	3.330902e-01	2.989849e-02	
1000	1.000000e-01	9.000918e-03	3.723998e-01	2.989847e-02	
1100	1.000000e-01	9.000930e-03	4.122193e-01	2.989845e-02	
1200	1.000000e-01	9.000942e-03	4.525555e-01	2.989843e-02	
1300	1.000000e-01	9.000954e-03	4.934156e-01	2.989841e-02	
1400	1.000000e-01	9.000967e-03	5.348068e-01	2.989839e-02	
1500	1.000000e-01	9.000980e-03	5.767363e-01	2.989837e-02	
1600	1.000000e-01	9.000995e-03	6.192116e-01	2.989834e-02	
1700	1.000000e-01	9.001008e-03	6.622400e-01	2.989832e-02	
1800	1.000000e-01	9.001016e-03	7.058291e-01	2.989831e-02	
1900	1.000000e-01	9.001030e-03	7.499867e-01	2.989828e-02	
2000	1.000000e-01	9.001043e-03	7.947204e-01	2.989826e-02	
2100	1.000000e-01	9.001057e-03	8.400381e-01	2.989824e-02	
2200	1.000000e-01	9.001073e-03	8.859477e-01	2.989821e-02	
2300	1.000000e-01	9.001087e-03	9.324573e-01	2.989819e-02	
2400	1.000000e-01	9.001102e-03	9.795752e-01	2.989816e-02	
2500	1.000000e-01	9.001112e-03	1.027309e+00	2.989815e-02	
2600	1.000000e-01	9.001130e-03	1.075669e+00	2.989812e-02	
2700	1.000000e-01	9.001142e-03	1.124661e+00	2.989810e-02	
2800	1.000000e-01	9.001157e-03	1.174296e+00	2.989807e-02	
2900	1.000000e-01	9.001172e-03	1.224581e+00	2.989805e-02	
3000	1.000000e-01	9.001186e-03	1.275526e+00	2.989802e-02	
3100	1.000000e-01	9.001201e-03	1.327139e+00	2.989800e-02	
3200	1.000000e-01	9.001217e-03	1.379430e+00	2.989797e-02	
3300	1.000000e-01	9.001233e-03	1.432408e+00	2.989794e-02	
3400	1.000000e-01	9.001253e-03	1.486082e+00	2.989791e-02	
3500	1.000000e-01	9.001270e-03	1.540460e+00	2.989788e-02	
3600	1.000000e-01	9.001286e-03	1.595554e+00	2.989786e-02	
3700	1.000000e-01	9.001315e-03	1.651373e+00	2.989781e-02	
3800	1.000000e-01	9.001336e-03	1.707925e+00	2.989777e-02	
3900	1.000000e-01	9.001353e-03	1.765222e+00	2.989774e-02	
4000	1.000000e-01	9.001371e-03	1.823273e+00	2.989771e-02	
4100	1.000000e-01	9.001394e-03	1.882088e+00	2.989768e-02	
4200	1.000000e-01	9.001420e-03	1.941679e+00	2.989763e-02	
4300	1.000000e-01	9.001438e-03	2.002054e+00	2.989760e-02	
4400	1.000000e-01	9.001457e-03	2.063225e+00	2.989757e-02	
4500	1.000000e-01	9.001478e-03	2.125203e+00	2.989754e-02	
4600	1.000000e-01	9.001491e-03	2.187998e+00	2.989752e-02	
4700	1.000000e-01	9.001510e-03	2.251622e+00	2.989748e-02	
4800	1.000000e-01	9.001530e-03	2.316085e+00	2.989745e-02	
4900	1.000000e-01	9.001546e-03	2.381399e+00	2.989742e-02	
5000	1.000000e-01	9.001566e-03	2.447575e+00	2.989739e-02	
5100	1.000000e-01	9.001587e-03	2.514625e+00	2.989736e-02	
5200	1.000000e-01	9.001599e-03	2.582561e+00	2.989734e-02	
5300	1.000000e-01	9.001620e-03	2.651394e+00	2.989730e-02	
5400	1.000000e-01	9.001648e-03	2.721137e+00	2.989725e-02	
5500	1.000000e-01	9.001673e-03	2.791801e+00	2.989721e-02	
5600	1.000000e-01	9.001691e-03	2.863400e+00	2.989718e-02	
5700	1.000000e-01	9.001714e-03	2.935945e+00	2.989714e-02	
5800	1.000000e-01	9.001737e-03	3.009449e+00	2.989711e-02	
5900	1.000000e-01	9.001768e-03	3.083926e+00	2.989705e-02	
6000	1.000000e-01	9.001780e-03	3.159388e+00	2.989703e-02	
6100	1.000000e-01	9.001811e-03	3.235849e+00	2.989698e-02	
6200	1.000000e-01	9.001828e-03	3.313321e+00	2.989695e-02	
6300	1.000000e-01	9.001852e-03	3.391819e+00	2.989691e-02	
6400	1.000000e-01	9.001877e-03	3.471355e+00	2.989687e-02	
6500	1.000000e-01	9.001907e-03	3.551945e+00	2.989682e-02	
6600	1.000000e-01	9.001936e-03	3.633602e+00	2.989677e-02	
6700	1.000000e-01	9.001961e-03	3.716341e+00	2.989673e-02	
6800	1.000000e-01	9.001987e-03	3.800175e+00	2.989669e-02	
6900	1.000000e-01	9.002014e-03	3.885119e+00	2.989664e-02	
7000	1.000000e-01	9.002042e-03	3.971189e+00	2.989660e-02	
7100	1.000000e-01	9.002070e-03	4.058399e+00	2.989655e-02	
7200	1.000000e-01	9.002098e-03	4.146765e+00	2.989650e-02	
7300	1.000000e-01	9.002125e-03	4.236302e+00	2.989646e-02	
7400	1.000000e-01	9.002154e-03	4.327027e+00	2.989641e-02	
7500	1.000000e-01	9.002175e-03	4.418953e+00	2.989638e-02	
7600	1.000000e-01	9.002205e-03	4.512099e+00	2.989633e-02	
7700	1.000000e-01	9.002234e-03	4.606480e+00	2.989628e-02	
7800	1.000000e-01	9.002265e-03	4.702112e+00	2.989623e-02	
7900	1.000000e-01	9.002296e-03	4.799012e+00	2.989617e-02	
8000	1.000000e-01	9.002327e-03	4.897197e+00	2.989612e-02	
8100	1.000000e-01	9.002358e-03	4.996685e+00	2.989607e-02	
8200	1.000000e-01	9.002389e-03	5.097493e+00	2.989602e-02	
8300	1.000000e-01	9.002421e-03	5.199637e+00	2.989597e-02	
8400	1.000000e-01	9.002448e-03	5.303137e+00	2.989592e-02	
8500	1.000000e-01	9.002481e-03	5.408010e+00	2.989587e-02	
8600	1.000000e-01	9.002513e-03	5.514275e+00	2.989581e-02	
8700	1.000000e-01	9.002554e-03	5.621950e+00	2.989574e-02	
8800	1.000000e-01	9.002588e-03	5.731054e+00	2.989569e-02	
8900	1.000000e-01	9.002624e-03	5.841606e+00	2.989563e-02	
9000	1.000000e-01	9.002659e-03	5.953626e+00	2.989557e-02	
9100	1.000000e-01	9.002694e-03	6.067132e+00	2.989551e-02	
9200	1.000000e-01	9.002730e-03	6.182145e+00	2.989545e-02	
9300	1.000000e-01	9.002766e-03	6.298685e+00	2.989539e-02	
9400	1.000000e-01	9.002806e-03	6.416773e+00	2.989532e-02	
9500	1.000000e-01	9.002849e-03	6.536428e+00	2.989525e-02	
9600	1.000000e-01	9.002884e-03	6.657672e+00	2.989519e-02	
9700	1.000000e-01	9.002922e-03	6.780526e+00	2.989513e-02	
9800	1.000000e-01	9.002964e-03	6.905012e+00	2.989506e-02	
9900	1.000000e-01	9.003003e-03	7.031150e+00	2.989500e-02	
10000	1.000000e-01	9.003045e-03	7.158964e+00	2.989493e-02	
10100	1.000000e-01	9.003085e-03	7.288475e+00	2.989486e-02	
10200	1.000000e-01	9.003130e-03	7.419706e+00	2.989478e-02	
10300	1.000000e-01	9.003176e-03	7.552680e+00	2.989471e-02	
10400	1.000000e-01	9.003221e-03	7.687419e+00	2.989463e-02	
10500	1.000000e-01	9.003258e-03	7.823949e+00	2.989457e-02	
10600	1.000000e-01	9.003293e-03	7.962291e+00	2.989451e-02	
10700	1.000000e-01	9.003339e-03	8.102471e+00	2.989444e-02	
10800	1.000000e-01	9.003383e-03	8.244513e+00	2.989436e-02	
10900	1.000000e-01	9.003429e-03	8.388443e+00	2.989429e-02	
11000	1.000000e-01	9.003470e-03	8.534284e+00	2.989422e-02	
11100	1.000000e-01	9.003513e-03	8.682063e+00	2.989415e-02	
11200	1.000000e-01	9.003560e-03	8.831805e+00	2.989407e-02	
11300	1.000000e-01	9.003605e-03	8.983537e+00	2.989399e-02	
11400	1.000000e-01	9.003645e-03	9.137284e+00	2.989393e-02	
11500	1.000000e-01	9.003696e-03	9.293075e+00	2.989384e-02	
11600	1.000000e-01	9.003736e-03	9.450935e+00	2.989378e-02	
11700	1.000000e-01	9.003784e-03	9.610893e+00	2.989370e-02	
11800	1.000000e-01	9.003831e-03	9.772977e+00	2.989362e-02	
11900	1.000000e-01	9.003880e-03	9.937214e+00	2.989353e-02	
12000	1.000000e-01	9.003927e-03	1.010363e+01	2.989346e-02	
12100	1.000000e-01	9.003975e-03	1.027226e+01	2.989338e-02	
12200	1.000000e-01	9.004027e-03	1.044314e+01	2.989329e-02	
12300	1.000000e-01	9.004081e-03	1.061628e+01	2.989320e-02	
12400	1.000000e-01	9.004135e-03	1.079172e+01	2.989311e-02	
12500	1.000000e-01	9.004191e-03	1.096950e+01	2.989302e-02	
12600	1.000000e-01	9.004235e-03	1.114963e+01	2.989294e-02	
12700	1.000000e-01	9.004286e-03	1.133217e+01	2.989286e-02	
12800	1.000000e-01	9.004330e-03	1.151712e+01	2.989279e-02	
12900	1.000000e-01	9.004393e-03	1.170454e+01	2.989268e-02	
13000	1.000000e-01	9.004445e-03	1.189445e+01	2.989259e-02	
13100	1.000000e-01	9.004497e-03	1.208688e+01	2.989251e-02	
13200	1.000000e-01	9.004561e-03	1.228187e+01	2.989240e-02	
13300	1.000000e-01	9.004630e-03	1.247945e+01	2.989229e-02	
13400	1.000000e-01	9.004694e-03	1.267965e+01	2.989218e-02	
13500	1.000000e-01	9.004747e-03	1.288252e+01	2.989209e-02	
13600	1.000000e-01	9.004812e-03	1.308808e+01	2.989198e-02	
13700	1.000000e-01	9.004875e-03	1.329638e+01	2.989188e-02	
13800	1.000000e-01	9.004937e-03	1.350744e+01	2.989177e-02	
13900	1.000000e-01	9.004997e-03	1.372131e+01	2.989167e-02	
14000	1.000000e-01	9.005064e-03	1.393802e+01	2.989156e-02	
14100	1.000000e-01	9.005131e-03	1.415761e+01	2.989145e-02	
14200	1.000000e-01	9.005210e-03	1.438012e+01	2.989132e-02	
14300	1.000000e-01	9.005271e-03	1.460558e+01	2.989122e-02	
14400	1.000000e-01	9.005345e-03	1.483405e+01	2.989109e-02	
14500	1.000000e-01	9.005407e-03	1.506555e+01	2.989099e-02	
14600	1.000000e-01	9.005473e-03	1.530013e+01	2.989088e-02	
14700	1.000000e-01	9.005543e-03	1.553782e+01	2.989077e-02	
14800	1.000000e-01	9.005622e-03	1.577867e+01	2.989063e-02	
14900	1.000000e-01	9.005696e-03	1.602273e+01	2.989051e-02	
15000	1.000000e-01	9.005763e-03	1.627003e+01	2.989040e-02	
15100	1.000000e-01	9.005841e-03	1.652061e+01	2.989027e-02	
15200	1.000000e-01	9.005914e-03	1.677453e+01	2.989015e-02	
15300	1.000000e-01	9.006001e-03	1.703182e+01	2.989000e-02	
15400	1.000000e-01	9.006087e-03	1.729253e+01	2.988986e-02	
15500	1.000000e-01	9.006158e-03	1.755671e+01	2.988974e-02	
15600	1.000000e-01	9.006241e-03	1.782440e+01	2.988960e-02	
15700	1.000000e-01	9.006318e-03	1.809564e+01	2.988947e-02	
15800	1.000000e-01	9.006395e-03	1.837049e+01	2.988935e-02	
15900	1.000000e-01	9.006470e-03	1.864899e+01	2.988922e-02	
16000	1.000000e-01	9.006560e-03	1.893119e+01	2.988907e-02	
16100	1.000000e-01	9.006638e-03	1.921715e+01	2.988894e-02	
16200	1.000000e-01	9.006732e-03	1.950690e+01	2.988878e-02	
16300	1.000000e-01	9.006814e-03	1.980051e+01	2.988865e-02	
16400	1.000000e-01	9.006905e-03	2.009801e+01	2.988850e-02	
16500	1.000000e-01	9.006986e-03	2.039947e+01	2.988836e-02	
16600	1.000000e-01	9.007080e-03	2.070494e+01	2.988820e-02	
16700	1.000000e-01	9.007175e-03	2.101446e+01	2.988805e-02	
16800	1.000000e-01	9.007271e-03	2.132810e+01	2.988789e-02	
16900	1.000000e-01	9.007368e-03	2.164591e+01	2.988772e-02	
17000	1.000000e-01	9.007460e-03	2.196794e+01	2.988757e-02	
17100	1.000000e-01	9.007556e-03	2.229425e+01	2.988741e-02	
17200	1.000000e-01	9.007646e-03	2.262490e+01	2.988726e-02	
17300	1.000000e-01	9.007748e-03	2.295993e+01	2.988709e-02	
17400	1.000000e-01	9.007857e-03	2.329943e+01	2.988691e-02	
17500	1.000000e-01	9.007967e-03	2.364343e+01	2.988673e-02	
17600	1.000000e-01	9.008083e-03	2.399200e+01	2.988653e-02	
17700	1.000000e-01	9.008196e-03	2.434521e+01	2.988635e-02	
17800	1.000000e-01	9.008300e-03	2.470311e+01	2.988617e-02	
17900	1.000000e-01	9.008407e-03	2.506577e+01	2.988599e-02	
18000	1.000000e-01	9.008530e-03	2.543324e+01	2.988579e-02	
18100	1.000000e-01	9.008638e-03	2.580560e+01	2.988561e-02	
18200	1.000000e-01	9.008751e-03	2.618291e+01	2.988542e-02	
18300	1.000000e-01	9.008863e-03	2.656523e+01	2.988524e-02	
18400	1.000000e-01	9.008979e-03	2.695263e+01	2.988504e-02	
18500	1.000000e-01	9.009100e-03	2.734518e+01	2.988484e-02	
18600	1.000000e-01	9.009222e-03	2.774294e+01	2.988464e-02	
18700	1.000000e-01	9.009336e-03	2.814599e+01	2.988445e-02	
18800	1.000000e-01	9.009466e-03	2.855440e+01	2.988423e-02	
18900	1.000000e-01	9.009601e-03	2.896823e+01	2.988401e-02	
19000	1.000000e-01	9.009721e-03	2.938756e+01	2.988381e-02	
19100	1.000000e-01	9.009852e-03	2.981246e+01	2.988359e-02	
19200	1.000000e-01	9.009992e-03	3.024301e+01	2.988335e-02	
19300	1.000000e-01	9.010111e-03	3.067928e+01	2.988316e-02	
19400	1.000000e-01	9.010237e-03	3.112135e+01	2.988295e-02	
19500	1.000000e-01	9.010372e-03	3.156928e+01	2.988272e-02	
19600	1.000000e-01	9.010508e-03	3.202317e+01	2.988250e-02	
19700	1.000000e-01	9.010626e-03	3.248309e+01	2.988230e-02	
19800	1.000000e-01	9.010770e-03	3.294912e+01	2.988206e-02	
19900	1.000000e-01	9.010921e-03	3.342134e+01	2.988181e-02	
20000	1.000000e-01	9.011055e-03	3.389983e+01	2.988158e-02	
20100	1.000000e-01	9.011190e-03	3.438468e+01	2.988136e-02	
20200	1.000000e-01	9.011323e-03	3.487597e+01	2.988114e-02	
20300	1.000000e-01	9.011463e-03	3.537379e+01	2.988091e-02	
20400	1.000000e-01	9.011623e-03	3.587822e+01	2.988064e-02	
20500	1.000000e-01	9.011768e-03	3.638936e+01	2.988040e-02	
20600	1.000000e-01	9.011928e-03	3.690728e+01	2.988013e-02	
20700	1.000000e-01	9.012079e-03	3.743208e+01	2.987988e-02	
20800	1.000000e-01	9.012236e-03	3.796386e+01	2.987962e-02	
20900	1.000000e-01	9.012408e-03	3.850269e+01	2.987933e-02	
21000	1.000000e-01	9.012592e-03	3.904869e+01	2.987902e-02	
21100	1.000000e-01	9.012780e-03	3.960194e+01	2.987871e-02	
21200	1.000000e-01	9.012933e-03	4.016254e+01	2.987846e-02	
21300	1.000000e-01	9.013120e-03	4.073058e+01	2.987815e-02	
21400	1.000000e-01	9.013279e-03	4.130618e+01	2.987788e-02	
21500	1.000000e-01	9.013455e-03	4.188941e+01	2.987759e-02	
21600	1.000000e-01	9.013638e-03	4.248040e+01	2.987728e-02	
21700	1.000000e-01	9.013819e-03	4.307923e+01	2.987698e-02	
21800	1.000000e-01	9.014009e-03	4.368602e+01	2.987667e-02	
21900	1.000000e-01	9.014207e-03	4.430087e+01	2.987633e-02	
22000	1.000000e-01	9.014373e-03	4.492389e+01	2.987606e-02	
22100	1.000000e-01	9.014576e-03	4.555519e+01	2.987572e-02	
22200	1.000000e-01	9.014773e-03	4.619486e+01	2.987539e-02	
22300	1.000000e-01	9.014969e-03	4.684304e+01	2.987507e-02	
22400	1.000000e-01	9.015189e-03	4.749982e+01	2.987470e-02	
22500	1.000000e-01	9.015384e-03	4.816532e+01	2.987438e-02	
