step	cyano	ecw	
0	50	50	
100	50	84	
200	50	95	
300	50	95	
400	50	95	
500	50	95	
600	50	95	
700	52	95	
800	52	95	
900	52	95	
1000	52	95	
1100	53	95	
1200	56	95	
1300	57	95	
1400	57	95	
1500	57	95	
1600	58	95	
1700	59	95	
1800	60	95	
1900	60	95	
2000	60	95	
2100	62	95	
2200	62	95	
2300	62	95	
2400	62	95	
2500	64	95	
2600	67	95	
2700	68	95	
2800	68	95	
2900	68	95	
3000	68	95	
3100	68	95	
3200	68	95	
3300	69	95	
3400	70	95	
3500	70	95	
3600	70	95	
3700	70	95	
3800	71	95	
3900	73	95	
4000	73	95	
4100	73	95	
4200	74	95	
4300	74	95	
4400	74	95	
4500	74	95	
4600	76	95	
4700	76	95	
4800	79	95	
4900	80	95	
5000	80	95	
5100	82	95	
5200	84	95	
5300	87	95	
5400	90	95	
5500	90	95	
5600	91	96	
5700	92	96	
5800	93	97	
5900	96	97	
6000	96	97	
6100	96	97	
6200	99	97	
6300	99	97	
6400	100	97	
6500	102	97	
6600	103	97	
6700	106	97	
6800	107	97	
6900	108	97	
7000	110	97	
7100	111	97	
7200	111	97	
7300	114	97	
7400	116	97	
7500	118	97	
7600	118	97	
7700	118	97	
7800	119	97	
7900	124	97	
8000	127	97	
8100	128	98	
8200	128	98	
8300	130	98	
8400	131	98	
8500	132	99	
8600	132	99	
8700	134	100	
8800	136	100	
8900	137	100	
9000	138	100	
9100	142	100	
9200	145	100	
9300	150	100	
9400	153	100	
9500	153	100	
9600	156	100	
9700	157	100	
9800	158	100	
9900	161	100	
10000	161	101	
10100	162	101	
10200	166	101	
10300	168	101	
10400	168	101	
10500	171	101	
10600	174	102	
10700	174	103	
10800	177	103	
10900	178	103	
11000	181	103	
11100	184	103	
11200	185	103	
11300	190	103	
11400	194	103	
11500	196	103	
11600	199	103	
11700	205	103	
11800	205	103	
11900	209	103	
12000	213	103	
12100	215	103	
12200	218	103	
12300	223	103	
12400	225	103	
12500	226	103	
12600	229	103	
12700	231	104	
12800	234	105	
12900	238	106	
13000	241	107	
13100	244	107	
13200	244	107	
13300	247	107	
13400	255	107	
13500	256	107	
13600	256	107	
13700	259	107	
13800	261	107	
13900	263	107	
14000	271	108	
14100	275	108	
14200	276	108	
14300	278	108	
14400	283	108	
14500	286	108	
14600	292	108	
14700	296	108	
14800	302	108	
14900	304	108	
15000	308	108	
15100	314	108	
15200	318	110	
15300	325	110	
15400	327	112	
15500	332	113	
15600	338	113	
15700	343	113	
15800	348	113	
15900	352	113	
16000	354	113	
16100	359	113	
16200	363	114	
16300	368	115	
16400	370	115	
16500	377	115	
16600	383	115	
16700	387	115	
16800	395	115	
16900	402	116	
17000	410	116	
17100	417	116	
17200	424	116	
17300	427	116	
17400	434	117	
17500	437	117	
17600	441	117	
17700	446	117	
17800	453	117	
17900	459	117	
18000	466	117	
18100	472	117	
18200	479	117	
18300	484	118	
18400	493	119	
18500	497	120	
18600	503	121	
18700	511	121	
18800	514	121	
18900	521	121	
19000	525	121	
19100	533	121	
19200	544	121	
19300	548	121	
19400	557	121	
19500	563	122	
19600	570	123	
19700	577	124	
19800	586	124	
19900	590	124	
20000	594	124	
20100	602	124	
20200	608	124	
20300	613	124	
20400	625	124	
20500	635	125	
20600	646	125	
20700	654	126	
20800	660	127	
20900	674	127	
21000	687	127	
21100	700	127	
21200	708	127	
21300	726	127	
21400	734	127	
21500	742	127	
21600	752	127	
21700	759	127	
21800	770	127	
21900	779	127	
22000	790	127	
22100	800	127	
22200	808	127	
22300	820	128	
22400	832	129	
22500	841	129	
22600	849	129	
22700	857	129	
22800	869	129	
22900	876	129	
23000	883	130	
23100	898	130	
23200	910	130	
23300	920	130	
23400	936	131	
23500	956	132	
23600	970	132	
23700	987	133	
23800	999	134	
23900	1008	134	
24000	1017	135	
24100	1031	135	
24200	1040	135	
24300	1052	136	
24400	1065	136	
24500	1089	136	
24600	1103	137	
24700	1124	137	
24800	1136	137	
24900	1147	137	
25000	1159	137	
25100	1173	138	
25200	1186	138	
25300	1202	138	
25400	1218	138	
25500	1231	138	
25600	1249	140	
25700	1269	141	
25800	1287	141	
25900	1307	141	
26000	1329	142	
26100	1344	142	
26200	1358	142	
26300	1378	142	
26400	1400	142	
26500	1420	142	
26600	1445	143	
26700	1464	143	
26800	1480	143	
26900	1509	143	
27000	1523	145	
27100	1544	147	
27200	1562	147	
27300	1581	147	
27400	1599	148	
27500	1616	148	
27600	1634	148	
27700	1656	148	
27800	1678	148	
27900	1693	148	
28000	1708	148	
28100	1729	148	
28200	1753	149	
28300	1775	149	
28400	1794	149	
28500	1816	149	
28600	1835	150	
28700	1863	150	
28800	1895	150	
28900	1926	150	
29000	1956	151	
29100	1987	151	
29200	2010	152	
29300	2042	152	
29400	2069	153	
29500	2099	154	
29600	2121	155	
29700	2150	155	
29800	2181	155	
29900	2216	155	
30000	2242	155	
30100	2267	156	
30200	2299	156	
30300	2319	156	
30400	2347	156	
30500	2377	156	
30600	2408	156	
30700	2450	157	
30800	2480	157	
30900	2511	158	
31000	2545	159	
31100	2588	160	
31200	2611	160	
31300	2643	160	
31400	2693	161	
31500	2725	163	
31600	2767	164	
31700	2799	165	
31800	2831	166	
31900	2873	166	
32000	2913	167	
32100	2940	167	
32200	2986	168	
32300	3019	169	
