step	cyano	ecw	
0	50	50	
100	50	79	
200	50	92	
300	50	92	
400	50	92	
500	53	92	
600	53	92	
700	54	92	
800	54	92	
900	55	92	
1000	59	92	
1100	61	92	
1200	61	92	
1300	61	92	
1400	61	92	
1500	61	92	
1600	63	92	
1700	65	92	
1800	66	93	
1900	66	93	
2000	68	93	
2100	68	93	
2200	68	93	
2300	69	93	
2400	69	93	
2500	69	93	
2600	70	93	
2700	70	94	
2800	70	94	
2900	73	94	
3000	76	95	
3100	76	95	
3200	76	96	
3300	76	96	
3400	78	96	
3500	78	96	
3600	78	96	
3700	79	96	
3800	79	96	
3900	81	96	
4000	81	96	
4100	82	97	
4200	82	97	
4300	82	98	
4400	83	98	
4500	83	99	
4600	84	99	
4700	84	99	
4800	84	99	
4900	85	99	
5000	85	99	
5100	86	100	
5200	86	100	
5300	89	102	
5400	89	102	
5500	90	103	
5600	92	104	
5700	96	105	
5800	96	108	
5900	98	108	
6000	98	108	
6100	100	108	
6200	101	109	
6300	106	110	
6400	107	111	
6500	110	112	
6600	111	113	
6700	116	114	
6800	120	114	
6900	125	115	
7000	126	117	
7100	126	117	
7200	126	117	
7300	126	118	
7400	129	119	
7500	131	121	
7600	134	121	
7700	137	124	
7800	142	124	
7900	142	124	
8000	143	125	
8100	144	125	
8200	144	126	
8300	146	127	
8400	149	127	
8500	150	127	
8600	150	129	
8700	155	129	
8800	158	133	
8900	158	133	
9000	158	134	
9100	159	134	
9200	160	136	
9300	160	136	
9400	162	137	
9500	163	138	
9600	163	139	
9700	165	141	
9800	170	141	
9900	171	142	
10000	171	144	
10100	171	146	
10200	175	148	
10300	178	150	
10400	181	152	
10500	182	153	
10600	182	153	
10700	185	155	
10800	187	157	
10900	191	157	
11000	192	157	
11100	198	159	
11200	200	159	
11300	205	160	
11400	209	160	
11500	213	160	
11600	214	162	
11700	216	162	
11800	219	162	
11900	226	162	
12000	230	163	
12100	234	165	
12200	235	166	
12300	239	167	
12400	247	168	
12500	257	170	
12600	260	171	
12700	263	171	
12800	267	173	
12900	272	176	
13000	274	179	
13100	278	179	
13200	283	181	
13300	284	183	
13400	289	185	
13500	295	186	
13600	296	187	
13700	297	189	
13800	301	192	
13900	305	192	
14000	306	194	
14100	307	195	
14200	309	198	
14300	316	199	
14400	317	203	
14500	318	205	
14600	319	207	
14700	329	207	
