step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.000763e-03	3.536595e-02	2.989873e-02	
200	1.000000e-01	9.000773e-03	7.006961e-02	2.989871e-02	
300	1.000000e-01	9.000784e-03	1.052191e-01	2.989869e-02	
400	1.000000e-01	9.000794e-03	1.408249e-01	2.989868e-02	
500	1.000000e-01	9.000799e-03	1.768940e-01	2.989867e-02	
600	1.000000e-01	9.000810e-03	2.134328e-01	2.989865e-02	
700	1.000000e-01	9.000823e-03	2.504481e-01	2.989863e-02	
800	1.000000e-01	9.000834e-03	2.879465e-01	2.989861e-02	
900	1.000000e-01	9.000845e-03	3.259346e-01	2.989859e-02	
1000	1.000000e-01	9.000856e-03	3.644191e-01	2.989857e-02	
1100	1.000000e-01	9.000869e-03	4.034069e-01	2.989855e-02	
1200	1.000000e-01	9.000882e-03	4.429046e-01	2.989853e-02	
1300	1.000000e-01	9.000894e-03	4.829193e-01	2.989851e-02	
1400	1.000000e-01	9.000906e-03	5.234579e-01	2.989849e-02	
1500	1.000000e-01	9.000918e-03	5.645275e-01	2.989847e-02	
1600	1.000000e-01	9.000930e-03	6.061354e-01	2.989845e-02	
1700	1.000000e-01	9.000944e-03	6.482888e-01	2.989843e-02	
1800	1.000000e-01	9.000956e-03	6.909951e-01	2.989841e-02	
1900	1.000000e-01	9.000969e-03	7.342617e-01	2.989839e-02	
2000	1.000000e-01	9.000982e-03	7.780964e-01	2.989836e-02	
2100	1.000000e-01	9.000995e-03	8.225066e-01	2.989834e-02	
2200	1.000000e-01	9.001005e-03	8.675003e-01	2.989833e-02	
2300	1.000000e-01	9.001020e-03	9.130853e-01	2.989830e-02	
2400	1.000000e-01	9.001033e-03	9.592695e-01	2.989828e-02	
2500	1.000000e-01	9.001047e-03	1.006061e+00	2.989826e-02	
2600	1.000000e-01	9.001064e-03	1.053468e+00	2.989823e-02	
2700	1.000000e-01	9.001078e-03	1.101499e+00	2.989820e-02	
2800	1.000000e-01	9.001092e-03	1.150162e+00	2.989818e-02	
2900	1.000000e-01	9.001106e-03	1.199466e+00	2.989816e-02	
3000	1.000000e-01	9.001120e-03	1.249419e+00	2.989813e-02	
3100	1.000000e-01	9.001135e-03	1.300030e+00	2.989811e-02	
3200	1.000000e-01	9.001150e-03	1.351309e+00	2.989808e-02	
3300	1.000000e-01	9.001162e-03	1.403263e+00	2.989806e-02	
3400	1.000000e-01	9.001178e-03	1.455902e+00	2.989804e-02	
3500	1.000000e-01	9.001188e-03	1.509236e+00	2.989802e-02	
3600	1.000000e-01	9.001204e-03	1.563272e+00	2.989799e-02	
3700	1.000000e-01	9.001226e-03	1.618022e+00	2.989796e-02	
3800	1.000000e-01	9.001242e-03	1.673495e+00	2.989793e-02	
3900	1.000000e-01	9.001262e-03	1.729700e+00	2.989790e-02	
4000	1.000000e-01	9.001278e-03	1.786646e+00	2.989787e-02	
4100	1.000000e-01	9.001291e-03	1.844345e+00	2.989785e-02	
4200	1.000000e-01	9.001309e-03	1.902806e+00	2.989782e-02	
4300	1.000000e-01	9.001326e-03	1.962039e+00	2.989779e-02	
