step	cyano	ecw	
0	50	50	
100	50	90	
200	50	106	
300	50	106	
400	50	106	
500	51	106	
600	52	108	
700	54	108	
800	54	108	
900	54	108	
1000	56	108	
1100	58	114	
1200	59	114	
1300	60	114	
1400	60	114	
1500	62	114	
1600	63	115	
1700	63	115	
1800	64	115	
1900	64	117	
2000	66	119	
2100	69	119	
2200	69	119	
2300	69	121	
2400	69	122	
2500	70	122	
2600	70	123	
2700	71	124	
2800	71	126	
2900	72	128	
3000	73	128	
3100	73	131	
3200	73	132	
3300	73	132	
3400	74	132	
3500	74	132	
3600	74	133	
3700	76	136	
3800	77	138	
3900	80	141	
4000	80	145	
4100	80	148	
4200	81	152	
4300	81	153	
4400	82	156	
4500	84	157	
4600	84	159	
4700	85	160	
4800	88	162	
4900	91	163	
5000	93	166	
5100	94	170	
5200	98	174	
5300	98	175	
5400	100	178	
5500	103	179	
5600	103	185	
5700	103	189	
5800	104	193	
5900	104	196	
6000	107	203	
6100	109	206	
6200	109	212	
6300	109	215	
6400	110	221	
6500	110	227	
6600	116	234	
6700	118	239	
6800	119	243	
6900	121	250	
7000	122	254	
7100	122	258	
7200	124	262	
7300	125	266	
7400	126	270	
7500	127	281	
7600	128	292	
7700	128	295	
7800	130	302	
7900	133	309	
8000	135	316	
8100	138	320	
8200	138	330	
8300	138	341	
8400	143	347	
8500	145	358	
8600	145	366	
8700	148	378	
8800	148	388	
8900	149	402	
9000	152	415	
9100	152	424	
9200	155	432	
9300	157	441	
9400	161	453	
9500	165	466	
9600	170	475	
9700	172	491	
9800	174	501	
9900	177	517	
10000	180	532	
10100	183	549	
10200	184	568	
10300	185	589	
10400	186	604	
10500	190	617	
10600	190	637	
10700	192	661	
10800	194	681	
10900	198	705	
11000	201	718	
11100	205	741	
11200	208	759	
11300	216	777	
11400	218	798	
11500	219	824	
11600	223	845	
11700	227	875	
11800	231	904	
11900	232	933	
12000	233	966	
12100	234	996	
12200	238	1035	
12300	240	1067	
12400	248	1096	
12500	250	1127	
12600	251	1169	
12700	254	1211	
12800	256	1251	
12900	261	1289	
13000	266	1333	
13100	268	1379	
13200	269	1426	
13300	272	1466	
13400	275	1496	
13500	277	1537	
13600	278	1582	
13700	282	1637	
13800	286	1692	
13900	291	1749	
14000	297	1806	
14100	302	1874	
14200	305	1931	
14300	311	2005	
14400	316	2074	
14500	320	2153	
14600	323	2232	
14700	325	2315	
14800	331	2391	
14900	333	2471	
15000	339	2549	
15100	343	2626	
15200	347	2706	
15300	352	2789	
15400	355	2878	
15500	361	2980	
15600	369	3077	
15700	374	3171	
15800	383	3261	
15900	393	3379	
16000	399	3498	
16100	402	3604	
16200	407	3744	
16300	410	3894	
16400	414	4024	
16500	422	4161	
16600	429	4313	
16700	433	4460	
16800	439	4597	
16900	448	4764	
17000	451	4924	
17100	455	5080	
17200	460	5255	
17300	467	5418	
17400	475	5591	
17500	480	5775	
17600	480	5955	
17700	489	6168	
17800	497	6370	
17900	500	6606	
18000	504	6844	
18100	508	7054	
18200	515	7299	
18300	522	7537	
18400	533	7766	
18500	539	8030	
18600	550	8256	
18700	554	8524	
18800	556	8785	
18900	564	9092	
19000	576	9389	
19100	582	9663	
19200	588	9982	
19300	594	10316	
19400	601	10657	
19500	613	10990	
19600	620	11322	
19700	622	11677	
19800	630	12021	
19900	640	12379	
20000	648	12728	
20100	654	13058	
20200	670	13426	
20300	686	13768	
20400	696	14147	
20500	706	14526	
20600	715	14902	
20700	725	15269	
20800	731	15624	
20900	739	16002	
21000	754	16388	
21100	763	16743	
21200	774	17097	
21300	783	17446	
21400	797	17825	
21500	802	18164	
21600	811	18506	
21700	824	18841	
21800	841	19192	
21900	856	19498	
22000	870	19842	
22100	883	20160	
22200	893	20479	
22300	906	20787	
22400	918	21089	
22500	929	21382	
22600	937	21675	
22700	947	21982	
22800	958	22329	
22900	969	22636	
23000	980	22950	
23100	994	23244	
23200	1005	23543	
23300	1026	23888	
23400	1032	24213	
23500	1042	24539	
23600	1059	24864	
23700	1063	25199	
23800	1076	25525	
23900	1090	25858	
24000	1099	26185	
24100	1115	26564	
24200	1128	26929	
24300	1138	27288	
24400	1155	27647	
24500	1172	28029	
24600	1195	28429	
24700	1209	28815	
24800	1220	29197	
24900	1239	29610	
25000	1261	30016	
25100	1281	30425	
25200	1297	30820	
25300	1316	31269	
25400	1333	31720	
25500	1350	32124	
25600	1370	32542	
25700	1399	33008	
25800	1415	33470	
25900	1437	33930	
26000	1458	34385	
26100	1480	34853	
26200	1493	35299	
26300	1508	35780	
26400	1532	36254	
26500	1555	36742	
26600	1580	37222	
26700	1603	37716	
26800	1625	38233	
26900	1638	38756	
27000	1665	39279	
27100	1689	39804	
27200	1713	40317	
27300	1739	40884	
27400	1759	41405	
27500	1780	41960	
27600	1804	42536	
27700	1826	43081	
27800	1852	43655	
27900	1873	44203	
28000	1892	44823	
28100	1916	45398	
28200	1934	46040	
28300	1948	46686	
28400	1976	47295	
28500	2001	47954	
28600	2033	48614	
28700	2060	49287	
28800	2088	49947	
28900	2113	50567	
29000	2148	51280	
29100	2169	51938	
29200	2208	52650	
29300	2232	53303	
29400	2259	53983	
29500	2285	54685	
29600	2305	55418	
29700	2335	56230	
29800	2372	56976	
29900	2406	57708	
30000	2434	58492	
30100	2465	59275	
30200	2496	60027	
30300	2523	60879	
30400	2556	61664	
30500	2588	62474	
30600	2615	63291	
30700	2649	64106	
30800	2680	64969	
30900	2710	65799	
31000	2751	66690	
31100	2784	67575	
31200	2820	68445	
31300	2857	69375	
31400	2893	70213	
31500	2919	71130	
31600	2956	72060	
31700	3003	73027	
31800	3043	73966	
31900	3081	74952	
32000	3132	75958	
32100	3164	76895	
32200	3207	77889	
32300	3238	78939	
32400	3268	79969	
32500	3306	80940	
32600	3350	81952	
32700	3383	83036	
32800	3422	84064	
32900	3467	85122	
33000	3507	86211	
33100	3547	87345	
33200	3587	88470	
33300	3629	89534	
33400	3676	90703	
33500	3709	91853	
33600	3746	92958	
33700	3785	94140	
33800	3836	95330	
33900	3866	96544	
34000	3914	97726	
34100	3972	98983	
34200	4001	100178	
34300	4056	101417	
34400	4107	102665	
34500	4150	103933	
34600	4181	105227	
34700	4238	106480	
34800	4279	107689	
34900	4315	108999	
35000	4370	110342	
