step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.000784e-03	3.538050e-02	2.989869e-02	
200	1.000000e-01	9.000794e-03	7.011696e-02	2.989868e-02	
300	1.000000e-01	9.000805e-03	1.053061e-01	2.989866e-02	
400	1.000000e-01	9.000815e-03	1.409563e-01	2.989864e-02	
500	1.000000e-01	9.000826e-03	1.770747e-01	2.989862e-02	
600	1.000000e-01	9.000840e-03	2.136681e-01	2.989860e-02	
700	1.000000e-01	9.000851e-03	2.507431e-01	2.989858e-02	
800	1.000000e-01	9.000862e-03	2.883063e-01	2.989856e-02	
900	1.000000e-01	9.000867e-03	3.263642e-01	2.989855e-02	
1000	1.000000e-01	9.000879e-03	3.649236e-01	2.989854e-02	
1100	1.000000e-01	9.000892e-03	4.039912e-01	2.989851e-02	
1200	1.000000e-01	9.000896e-03	4.435736e-01	2.989851e-02	
1300	1.000000e-01	9.000908e-03	4.836779e-01	2.989849e-02	
1400	1.000000e-01	9.000920e-03	5.243110e-01	2.989847e-02	
1500	1.000000e-01	9.000932e-03	5.654801e-01	2.989845e-02	
1600	1.000000e-01	9.000941e-03	6.071922e-01	2.989843e-02	
1700	1.000000e-01	9.000953e-03	6.494547e-01	2.989841e-02	
1800	1.000000e-01	9.000966e-03	6.922749e-01	2.989839e-02	
1900	1.000000e-01	9.000978e-03	7.356603e-01	2.989837e-02	
2000	1.000000e-01	9.000991e-03	7.796184e-01	2.989835e-02	
2100	1.000000e-01	9.001000e-03	8.241571e-01	2.989833e-02	
2200	1.000000e-01	9.001015e-03	8.692839e-01	2.989831e-02	
2300	1.000000e-01	9.001028e-03	9.150067e-01	2.989829e-02	
2400	1.000000e-01	9.001042e-03	9.613334e-01	2.989826e-02	
2500	1.000000e-01	9.001057e-03	1.008272e+00	2.989824e-02	
2600	1.000000e-01	9.001071e-03	1.055831e+00	2.989822e-02	
2700	1.000000e-01	9.001085e-03	1.104019e+00	2.989819e-02	
2800	1.000000e-01	9.001100e-03	1.152843e+00	2.989817e-02	
2900	1.000000e-01	9.001117e-03	1.202313e+00	2.989814e-02	
3000	1.000000e-01	9.001132e-03	1.252437e+00	2.989811e-02	
3100	1.000000e-01	9.001147e-03	1.303223e+00	2.989809e-02	
3200	1.000000e-01	9.001162e-03	1.354681e+00	2.989806e-02	
3300	1.000000e-01	9.001177e-03	1.406819e+00	2.989804e-02	
3400	1.000000e-01	9.001193e-03	1.459647e+00	2.989801e-02	
3500	1.000000e-01	9.001212e-03	1.513174e+00	2.989798e-02	
3600	1.000000e-01	9.001228e-03	1.567410e+00	2.989795e-02	
3700	1.000000e-01	9.001244e-03	1.622362e+00	2.989793e-02	
3800	1.000000e-01	9.001265e-03	1.678042e+00	2.989789e-02	
3900	1.000000e-01	9.001283e-03	1.734459e+00	2.989786e-02	
4000	1.000000e-01	9.001300e-03	1.791622e+00	2.989783e-02	
4100	1.000000e-01	9.001320e-03	1.849541e+00	2.989780e-02	
4200	1.000000e-01	9.001337e-03	1.908228e+00	2.989777e-02	
4300	1.000000e-01	9.001355e-03	1.967691e+00	2.989774e-02	
4400	1.000000e-01	9.001373e-03	2.027941e+00	2.989771e-02	
4500	1.000000e-01	9.001394e-03	2.088989e+00	2.989768e-02	
4600	1.000000e-01	9.001418e-03	2.150846e+00	2.989764e-02	
4700	1.000000e-01	9.001437e-03	2.213521e+00	2.989761e-02	
4800	1.000000e-01	9.001458e-03	2.277026e+00	2.989757e-02	
4900	1.000000e-01	9.001478e-03	2.341373e+00	2.989754e-02	
5000	1.000000e-01	9.001491e-03	2.406572e+00	2.989752e-02	
5100	1.000000e-01	9.001516e-03	2.472634e+00	2.989747e-02	
5200	1.000000e-01	9.001534e-03	2.539571e+00	2.989744e-02	
5300	1.000000e-01	9.001554e-03	2.607395e+00	2.989741e-02	
5400	1.000000e-01	9.001580e-03	2.676117e+00	2.989737e-02	
5500	1.000000e-01	9.001598e-03	2.745750e+00	2.989734e-02	
5600	1.000000e-01	9.001620e-03	2.816306e+00	2.989730e-02	
5700	1.000000e-01	9.001635e-03	2.887797e+00	2.989728e-02	
5800	1.000000e-01	9.001657e-03	2.960235e+00	2.989724e-02	
5900	1.000000e-01	9.001680e-03	3.033632e+00	2.989720e-02	
6000	1.000000e-01	9.001702e-03	3.108003e+00	2.989717e-02	
6100	1.000000e-01	9.001739e-03	3.183358e+00	2.989710e-02	
6200	1.000000e-01	9.001758e-03	3.259713e+00	2.989707e-02	
6300	1.000000e-01	9.001781e-03	3.337080e+00	2.989703e-02	
6400	1.000000e-01	9.001793e-03	3.415472e+00	2.989701e-02	
6500	1.000000e-01	9.001812e-03	3.494904e+00	2.989698e-02	
6600	1.000000e-01	9.001833e-03	3.575388e+00	2.989695e-02	
6700	1.000000e-01	9.001850e-03	3.656939e+00	2.989692e-02	
6800	1.000000e-01	9.001875e-03	3.739571e+00	2.989688e-02	
6900	1.000000e-01	9.001911e-03	3.823299e+00	2.989682e-02	
7000	1.000000e-01	9.001938e-03	3.908136e+00	2.989677e-02	
7100	1.000000e-01	9.001967e-03	3.994098e+00	2.989672e-02	
7200	1.000000e-01	9.001998e-03	4.081200e+00	2.989667e-02	
7300	1.000000e-01	9.002036e-03	4.169457e+00	2.989661e-02	
7400	1.000000e-01	9.002055e-03	4.258884e+00	2.989658e-02	
7500	1.000000e-01	9.002091e-03	4.349496e+00	2.989652e-02	
7600	1.000000e-01	9.002118e-03	4.441310e+00	2.989647e-02	
7700	1.000000e-01	9.002154e-03	4.534342e+00	2.989641e-02	
7800	1.000000e-01	9.002178e-03	4.628608e+00	2.989637e-02	
7900	1.000000e-01	9.002199e-03	4.724123e+00	2.989634e-02	
8000	1.000000e-01	9.002231e-03	4.820906e+00	2.989628e-02	
8100	1.000000e-01	9.002261e-03	4.918971e+00	2.989623e-02	
8200	1.000000e-01	9.002291e-03	5.018338e+00	2.989618e-02	
8300	1.000000e-01	9.002321e-03	5.119022e+00	2.989613e-02	
8400	1.000000e-01	9.002349e-03	5.221042e+00	2.989609e-02	
8500	1.000000e-01	9.002380e-03	5.324414e+00	2.989604e-02	
8600	1.000000e-01	9.002420e-03	5.429158e+00	2.989597e-02	
8700	1.000000e-01	9.002453e-03	5.535292e+00	2.989592e-02	
8800	1.000000e-01	9.002482e-03	5.642832e+00	2.989587e-02	
8900	1.000000e-01	9.002515e-03	5.751800e+00	2.989581e-02	
9000	1.000000e-01	9.002543e-03	5.862213e+00	2.989576e-02	
9100	1.000000e-01	9.002576e-03	5.974091e+00	2.989571e-02	
9200	1.000000e-01	9.002610e-03	6.087452e+00	2.989565e-02	
9300	1.000000e-01	9.002646e-03	6.202317e+00	2.989559e-02	
9400	1.000000e-01	9.002686e-03	6.318705e+00	2.989553e-02	
9500	1.000000e-01	9.002717e-03	6.436638e+00	2.989547e-02	
9600	1.000000e-01	9.002756e-03	6.556134e+00	2.989541e-02	
9700	1.000000e-01	9.002791e-03	6.677216e+00	2.989535e-02	
9800	1.000000e-01	9.002828e-03	6.799904e+00	2.989529e-02	
9900	1.000000e-01	9.002861e-03	6.924220e+00	2.989524e-02	
10000	1.000000e-01	9.002905e-03	7.050185e+00	2.989516e-02	
10100	1.000000e-01	9.002939e-03	7.177821e+00	2.989511e-02	
10200	1.000000e-01	9.002980e-03	7.307150e+00	2.989504e-02	
10300	1.000000e-01	9.003034e-03	7.438195e+00	2.989495e-02	
10400	1.000000e-01	9.003069e-03	7.570978e+00	2.989489e-02	
10500	1.000000e-01	9.003108e-03	7.705523e+00	2.989482e-02	
10600	1.000000e-01	9.003149e-03	7.841852e+00	2.989476e-02	
10700	1.000000e-01	9.003193e-03	7.979990e+00	2.989468e-02	
10800	1.000000e-01	9.003238e-03	8.119960e+00	2.989461e-02	
10900	1.000000e-01	9.003281e-03	8.261787e+00	2.989454e-02	
11000	1.000000e-01	9.003325e-03	8.405495e+00	2.989446e-02	
11100	1.000000e-01	9.003365e-03	8.551110e+00	2.989439e-02	
11200	1.000000e-01	9.003411e-03	8.698656e+00	2.989432e-02	
11300	1.000000e-01	9.003454e-03	8.848160e+00	2.989425e-02	
11400	1.000000e-01	9.003500e-03	8.999647e+00	2.989417e-02	
11500	1.000000e-01	9.003545e-03	9.153144e+00	2.989410e-02	
11600	1.000000e-01	9.003597e-03	9.308678e+00	2.989401e-02	
11700	1.000000e-01	9.003642e-03	9.466276e+00	2.989393e-02	
11800	1.000000e-01	9.003684e-03	9.625964e+00	2.989386e-02	
11900	1.000000e-01	9.003733e-03	9.787771e+00	2.989378e-02	
12000	1.000000e-01	9.003775e-03	9.951724e+00	2.989371e-02	
12100	1.000000e-01	9.003825e-03	1.011785e+01	2.989363e-02	
12200	1.000000e-01	9.003865e-03	1.028618e+01	2.989356e-02	
12300	1.000000e-01	9.003917e-03	1.045675e+01	2.989348e-02	
12400	1.000000e-01	9.003968e-03	1.062958e+01	2.989339e-02	
12500	1.000000e-01	9.004017e-03	1.080470e+01	2.989331e-02	
12600	1.000000e-01	9.004073e-03	1.098214e+01	2.989322e-02	
12700	1.000000e-01	9.004124e-03	1.116194e+01	2.989313e-02	
12800	1.000000e-01	9.004167e-03	1.134412e+01	2.989306e-02	
12900	1.000000e-01	9.004223e-03	1.152872e+01	2.989297e-02	
13000	1.000000e-01	9.004284e-03	1.171577e+01	2.989286e-02	
13100	1.000000e-01	9.004343e-03	1.190530e+01	2.989277e-02	
13200	1.000000e-01	9.004407e-03	1.209735e+01	2.989266e-02	
13300	1.000000e-01	9.004461e-03	1.229194e+01	2.989257e-02	
13400	1.000000e-01	9.004518e-03	1.248911e+01	2.989248e-02	
13500	1.000000e-01	9.004587e-03	1.268890e+01	2.989236e-02	
13600	1.000000e-01	9.004653e-03	1.289134e+01	2.989225e-02	
13700	1.000000e-01	9.004718e-03	1.309647e+01	2.989214e-02	
13800	1.000000e-01	9.004778e-03	1.330431e+01	2.989204e-02	
13900	1.000000e-01	9.004842e-03	1.351491e+01	2.989194e-02	
14000	1.000000e-01	9.004906e-03	1.372831e+01	2.989183e-02	
14100	1.000000e-01	9.004965e-03	1.394454e+01	2.989173e-02	
14200	1.000000e-01	9.005044e-03	1.416364e+01	2.989160e-02	
14300	1.000000e-01	9.005110e-03	1.438564e+01	2.989149e-02	
14400	1.000000e-01	9.005178e-03	1.461059e+01	2.989138e-02	
14500	1.000000e-01	9.005247e-03	1.483852e+01	2.989126e-02	
14600	1.000000e-01	9.005321e-03	1.506947e+01	2.989114e-02	
14700	1.000000e-01	9.005388e-03	1.530349e+01	2.989103e-02	
14800	1.000000e-01	9.005454e-03	1.554062e+01	2.989092e-02	
14900	1.000000e-01	9.005526e-03	1.578089e+01	2.989080e-02	
15000	1.000000e-01	9.005603e-03	1.602434e+01	2.989067e-02	
15100	1.000000e-01	9.005678e-03	1.627103e+01	2.989054e-02	
15200	1.000000e-01	9.005755e-03	1.652099e+01	2.989042e-02	
15300	1.000000e-01	9.005835e-03	1.677426e+01	2.989028e-02	
15400	1.000000e-01	9.005921e-03	1.703089e+01	2.989014e-02	
15500	1.000000e-01	9.005983e-03	1.729093e+01	2.989004e-02	
15600	1.000000e-01	9.006058e-03	1.755442e+01	2.988991e-02	
15700	1.000000e-01	9.006142e-03	1.782140e+01	2.988977e-02	
15800	1.000000e-01	9.006218e-03	1.809192e+01	2.988964e-02	
15900	1.000000e-01	9.006298e-03	1.836603e+01	2.988951e-02	
16000	1.000000e-01	9.006381e-03	1.864378e+01	2.988937e-02	
16100	1.000000e-01	9.006460e-03	1.892521e+01	2.988924e-02	
16200	1.000000e-01	9.006538e-03	1.921038e+01	2.988911e-02	
16300	1.000000e-01	9.006623e-03	1.949932e+01	2.988897e-02	
16400	1.000000e-01	9.006706e-03	1.979210e+01	2.988883e-02	
16500	1.000000e-01	9.006783e-03	2.008877e+01	2.988870e-02	
16600	1.000000e-01	9.006860e-03	2.038936e+01	2.988858e-02	
16700	1.000000e-01	9.006957e-03	2.069395e+01	2.988841e-02	
16800	1.000000e-01	9.007052e-03	2.100257e+01	2.988826e-02	
16900	1.000000e-01	9.007150e-03	2.131529e+01	2.988809e-02	
17000	1.000000e-01	9.007254e-03	2.163215e+01	2.988792e-02	
17100	1.000000e-01	9.007337e-03	2.195322e+01	2.988778e-02	
17200	1.000000e-01	9.007438e-03	2.227854e+01	2.988761e-02	
17300	1.000000e-01	9.007535e-03	2.260818e+01	2.988745e-02	
17400	1.000000e-01	9.007628e-03	2.294219e+01	2.988730e-02	
17500	1.000000e-01	9.007734e-03	2.328063e+01	2.988712e-02	
17600	1.000000e-01	9.007818e-03	2.362356e+01	2.988698e-02	
17700	1.000000e-01	9.007927e-03	2.397104e+01	2.988680e-02	
17800	1.000000e-01	9.008037e-03	2.432313e+01	2.988662e-02	
17900	1.000000e-01	9.008132e-03	2.467988e+01	2.988646e-02	
18000	1.000000e-01	9.008234e-03	2.504137e+01	2.988629e-02	
