step	cyano	ecw	
0	50	50	
100	50	87	
200	50	106	
300	50	106	
400	50	106	
500	50	106	
600	51	106	
700	52	106	
800	52	106	
900	52	106	
1000	52	106	
1100	53	106	
1200	54	106	
1300	55	106	
1400	55	106	
1500	55	106	
1600	56	106	
1700	56	106	
1800	57	106	
1900	57	106	
2000	57	106	
2100	57	106	
2200	57	106	
2300	59	106	
2400	59	106	
2500	60	106	
2600	60	106	
2700	61	106	
2800	61	106	
2900	62	106	
3000	62	106	
3100	64	106	
3200	64	106	
3300	65	107	
3400	70	107	
3500	72	107	
3600	72	107	
3700	73	107	
3800	73	108	
3900	74	108	
4000	74	108	
4100	74	108	
4200	76	109	
4300	76	109	
4400	79	109	
4500	79	109	
4600	79	110	
4700	79	110	
4800	79	110	
4900	79	110	
5000	79	110	
5100	79	112	
5200	79	113	
5300	80	113	
5400	83	113	
5500	83	113	
5600	84	113	
5700	85	113	
5800	86	113	
5900	88	113	
6000	88	114	
6100	90	115	
6200	92	115	
6300	92	115	
6400	93	115	
6500	95	116	
6600	98	116	
6700	104	117	
6800	104	117	
6900	105	117	
7000	108	118	
7100	108	119	
7200	109	120	
7300	109	120	
7400	109	120	
7500	114	120	
7600	114	120	
7700	114	122	
7800	118	123	
7900	120	123	
8000	124	123	
8100	126	123	
8200	127	123	
8300	131	123	
8400	131	123	
8500	132	123	
8600	133	123	
8700	136	123	
8800	137	124	
8900	142	124	
9000	144	124	
9100	145	125	
9200	146	125	
9300	150	125	
9400	150	125	
9500	151	126	
9600	152	128	
9700	153	130	
9800	153	130	
9900	153	131	
10000	155	132	
10100	157	133	
10200	159	134	
10300	163	136	
10400	164	136	
10500	167	137	
10600	169	138	
10700	172	141	
10800	175	143	
10900	177	143	
11000	179	143	
11100	183	144	
11200	184	145	
11300	187	146	
11400	189	146	
11500	190	146	
11600	191	151	
11700	193	153	
11800	195	153	
11900	197	154	
12000	201	156	
12100	204	156	
12200	209	156	
12300	216	157	
12400	216	157	
12500	218	157	
12600	221	157	
12700	225	157	
12800	227	157	
12900	232	158	
13000	238	159	
13100	242	161	
13200	245	163	
13300	250	164	
13400	256	167	
13500	258	168	
13600	260	171	
13700	263	173	
13800	265	175	
13900	267	177	
14000	270	177	
14100	274	178	
14200	278	180	
14300	281	182	
14400	286	183	
14500	290	184	
14600	293	184	
14700	296	187	
14800	300	187	
14900	301	188	
15000	303	188	
15100	307	188	
15200	311	190	
15300	318	192	
15400	320	193	
15500	326	195	
15600	332	196	
15700	335	198	
15800	338	198	
15900	342	199	
16000	346	201	
16100	346	202	
16200	351	203	
16300	357	205	
16400	361	209	
16500	364	213	
16600	369	213	
16700	374	214	
16800	379	215	
16900	391	217	
17000	397	217	
17100	405	219	
17200	407	219	
17300	411	220	
17400	419	221	
17500	423	222	
17600	434	222	
17700	443	224	
17800	447	226	
17900	451	229	
18000	459	232	
18100	469	235	
18200	473	239	
18300	480	243	
18400	486	244	
18500	489	245	
18600	496	245	
18700	501	247	
18800	506	247	
18900	508	248	
19000	510	249	
19100	515	249	
19200	528	251	
19300	536	251	
19400	540	255	
19500	551	258	
19600	561	259	
19700	567	264	
19800	582	265	
19900	588	267	
20000	593	269	
20100	600	270	
20200	609	273	
20300	614	275	
20400	622	276	
20500	630	280	
20600	634	282	
20700	642	284	
20800	646	286	
20900	655	287	
21000	665	289	
21100	671	291	
21200	680	292	
21300	687	296	
21400	696	302	
21500	706	308	
21600	718	309	
21700	732	313	
21800	746	317	
21900	758	319	
22000	769	324	
22100	782	328	
22200	792	333	
22300	801	339	
22400	805	341	
22500	824	343	
22600	833	343	
22700	840	346	
22800	848	349	
22900	855	351	
23000	862	351	
23100	874	353	
23200	887	356	
23300	914	358	
23400	920	359	
23500	939	363	
23600	950	365	
23700	959	370	
23800	971	373	
23900	993	374	
24000	1010	380	
24100	1020	383	
24200	1030	388	
24300	1041	390	
24400	1059	393	
24500	1070	395	
24600	1087	401	
24700	1102	408	
24800	1113	413	
24900	1126	416	
25000	1141	422	
25100	1157	425	
25200	1169	427	
25300	1182	430	
25400	1195	433	
25500	1212	433	
25600	1225	436	
25700	1237	439	
25800	1262	442	
25900	1278	443	
26000	1293	449	
26100	1305	452	
26200	1318	456	
26300	1336	461	
26400	1351	465	
26500	1371	469	
26600	1392	475	
26700	1413	479	
26800	1431	482	
26900	1449	487	
27000	1473	488	
27100	1491	490	
27200	1515	492	
27300	1532	499	
27400	1549	505	
27500	1578	507	
27600	1604	511	
27700	1628	514	
27800	1646	520	
27900	1663	526	
28000	1683	529	
28100	1704	536	
28200	1723	540	
28300	1743	546	
28400	1766	550	
28500	1796	555	
28600	1830	561	
28700	1850	565	
28800	1870	570	
28900	1900	574	
29000	1932	580	
29100	1966	586	
29200	1984	590	
29300	2010	596	
29400	2048	602	
29500	2075	608	
29600	2094	613	
29700	2123	620	
29800	2142	621	
29900	2166	630	
30000	2188	636	
30100	2218	641	
30200	2239	648	
30300	2266	654	
30400	2305	659	
30500	2337	662	
30600	2367	665	
30700	2402	671	
30800	2433	682	
30900	2464	691	
31000	2500	697	
31100	2534	701	
31200	2571	703	
31300	2613	709	
31400	2635	716	
31500	2665	729	
31600	2694	738	
31700	2723	746	
31800	2755	751	
31900	2784	760	
32000	2823	765	
32100	2857	771	
32200	2894	779	
32300	2936	786	
32400	2975	791	
32500	3026	805	
32600	3070	809	
32700	3108	812	
32800	3151	819	
32900	3204	824	
33000	3246	829	
33100	3291	836	
33200	3334	841	
33300	3382	849	
33400	3435	852	
33500	3465	861	
33600	3509	866	
33700	3552	873	
33800	3597	878	
33900	3644	888	
34000	3704	897	
34100	3753	901	
34200	3808	913	
34300	3856	920	
34400	3907	927	
34500	3965	934	
34600	4013	946	
34700	4068	952	
34800	4123	960	
34900	4167	968	
35000	4226	972	
