step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.003378e-03	6.153018e-03	2.989438e-02	
200	1.000000e-01	9.003437e-03	1.221845e-02	2.989428e-02	
300	1.000000e-01	9.003497e-03	1.838905e-02	2.989418e-02	
400	1.000000e-01	9.003559e-03	2.466703e-02	2.989408e-02	
500	1.000000e-01	9.003621e-03	3.105438e-02	2.989397e-02	
600	1.000000e-01	9.003684e-03	3.755307e-02	2.989387e-02	
700	1.000000e-01	9.003748e-03	4.416509e-02	2.989376e-02	
800	1.000000e-01	9.003814e-03	5.089244e-02	2.989365e-02	
900	1.000000e-01	9.003880e-03	5.773716e-02	2.989354e-02	
1000	1.000000e-01	9.003948e-03	6.470131e-02	2.989343e-02	
1100	1.000000e-01	9.004017e-03	7.178699e-02	2.989331e-02	
1200	1.000000e-01	9.004087e-03	7.899635e-02	2.989320e-02	
1300	1.000000e-01	9.004158e-03	8.633152e-02	2.989308e-02	
1400	1.000000e-01	9.004231e-03	9.379473e-02	2.989296e-02	
1500	1.000000e-01	9.004305e-03	1.013882e-01	2.989283e-02	
1600	1.000000e-01	9.004380e-03	1.091142e-01	2.989271e-02	
1700	1.000000e-01	9.004457e-03	1.169751e-01	2.989258e-02	
1800	1.000000e-01	9.004535e-03	1.249733e-01	2.989245e-02	
1900	1.000000e-01	9.004614e-03	1.331110e-01	2.989232e-02	
2000	1.000000e-01	9.004694e-03	1.413908e-01	2.989218e-02	
2100	1.000000e-01	9.004776e-03	1.498152e-01	2.989205e-02	
2200	1.000000e-01	9.004860e-03	1.583866e-01	2.989191e-02	
2300	1.000000e-01	9.004945e-03	1.671077e-01	2.989177e-02	
2400	1.000000e-01	9.005031e-03	1.759810e-01	2.989162e-02	
2500	1.000000e-01	9.005119e-03	1.850093e-01	2.989148e-02	
2600	1.000000e-01	9.005208e-03	1.941952e-01	2.989133e-02	
2700	1.000000e-01	9.005299e-03	2.035414e-01	2.989118e-02	
2800	1.000000e-01	9.005392e-03	2.130509e-01	2.989102e-02	
2900	1.000000e-01	9.005486e-03	2.227264e-01	2.989087e-02	
3000	1.000000e-01	9.005582e-03	2.325708e-01	2.989071e-02	
3100	1.000000e-01	9.005679e-03	2.425871e-01	2.989054e-02	
3200	1.000000e-01	9.005778e-03	2.527782e-01	2.989038e-02	
3300	1.000000e-01	9.005911e-03	2.631474e-01	2.989016e-02	
3400	1.000000e-01	9.006014e-03	2.736975e-01	2.988999e-02	
3500	1.000000e-01	9.006120e-03	2.844319e-01	2.988981e-02	
3600	1.000000e-01	9.006226e-03	2.953537e-01	2.988963e-02	
3700	1.000000e-01	9.006335e-03	3.064662e-01	2.988945e-02	
3800	1.000000e-01	9.006446e-03	3.177728e-01	2.988927e-02	
3900	1.000000e-01	9.006558e-03	3.292767e-01	2.988908e-02	
4000	1.000000e-01	9.006673e-03	3.409815e-01	2.988889e-02	
4100	1.000000e-01	9.006789e-03	3.528907e-01	2.988870e-02	
4200	1.000000e-01	9.006908e-03	3.650078e-01	2.988850e-02	
4300	1.000000e-01	9.007029e-03	3.773365e-01	2.988830e-02	
4400	1.000000e-01	9.007130e-03	3.898805e-01	2.988813e-02	
4500	1.000000e-01	9.007255e-03	4.026435e-01	2.988792e-02	
4600	1.000000e-01	9.007381e-03	4.156293e-01	2.988771e-02	
4700	1.000000e-01	9.007510e-03	4.288419e-01	2.988750e-02	
4800	1.000000e-01	9.007641e-03	4.422852e-01	2.988728e-02	
4900	1.000000e-01	9.007775e-03	4.559632e-01	2.988705e-02	
5000	1.000000e-01	9.007911e-03	4.698801e-01	2.988683e-02	
5100	1.000000e-01	9.008049e-03	4.840399e-01	2.988660e-02	
5200	1.000000e-01	9.008189e-03	4.984470e-01	2.988636e-02	
5300	1.000000e-01	9.008332e-03	5.131057e-01	2.988613e-02	
5400	1.000000e-01	9.008457e-03	5.280204e-01	2.988592e-02	
5500	1.000000e-01	9.008605e-03	5.431956e-01	2.988567e-02	
5600	1.000000e-01	9.008755e-03	5.586357e-01	2.988542e-02	
5700	1.000000e-01	9.008908e-03	5.743454e-01	2.988517e-02	
5800	1.000000e-01	9.009063e-03	5.903295e-01	2.988491e-02	
5900	1.000000e-01	9.009221e-03	6.065926e-01	2.988465e-02	
6000	1.000000e-01	9.009383e-03	6.231398e-01	2.988438e-02	
6100	1.000000e-01	9.009546e-03	6.399758e-01	2.988411e-02	
6200	1.000000e-01	9.009713e-03	6.571059e-01	2.988383e-02	
6300	1.000000e-01	9.009883e-03	6.745351e-01	2.988355e-02	
6400	1.000000e-01	9.010085e-03	6.922686e-01	2.988321e-02	
6500	1.000000e-01	9.010261e-03	7.103118e-01	2.988291e-02	
6600	1.000000e-01	9.010440e-03	7.286700e-01	2.988262e-02	
6700	1.000000e-01	9.010623e-03	7.473488e-01	2.988231e-02	
6800	1.000000e-01	9.010789e-03	7.663538e-01	2.988204e-02	
6900	1.000000e-01	9.010978e-03	7.856906e-01	2.988172e-02	
7000	1.000000e-01	9.011170e-03	8.053651e-01	2.988140e-02	
7100	1.000000e-01	9.011365e-03	8.253831e-01	2.988108e-02	
7200	1.000000e-01	9.011563e-03	8.457507e-01	2.988075e-02	
7300	1.000000e-01	9.011765e-03	8.664739e-01	2.988041e-02	
7400	1.000000e-01	9.011970e-03	8.875590e-01	2.988007e-02	
7500	1.000000e-01	9.012179e-03	9.090122e-01	2.987972e-02	
7600	1.000000e-01	9.012392e-03	9.308401e-01	2.987937e-02	
7700	1.000000e-01	9.012608e-03	9.530491e-01	2.987901e-02	
7800	1.000000e-01	9.012845e-03	9.756459e-01	2.987861e-02	
7900	1.000000e-01	9.013069e-03	9.986373e-01	2.987824e-02	
8000	1.000000e-01	9.013277e-03	1.022030e+00	2.987789e-02	
8100	1.000000e-01	9.013509e-03	1.045832e+00	2.987751e-02	
8200	1.000000e-01	9.013738e-03	1.070048e+00	2.987713e-02	
8300	1.000000e-01	9.013977e-03	1.094688e+00	2.987673e-02	
8400	1.000000e-01	9.014222e-03	1.119758e+00	2.987632e-02	
8500	1.000000e-01	9.014470e-03	1.145266e+00	2.987591e-02	
8600	1.000000e-01	9.014734e-03	1.171219e+00	2.987547e-02	
8700	1.000000e-01	9.014991e-03	1.197626e+00	2.987504e-02	
8800	1.000000e-01	9.015253e-03	1.224493e+00	2.987460e-02	
8900	1.000000e-01	9.015519e-03	1.251830e+00	2.987416e-02	
9000	1.000000e-01	9.015790e-03	1.279644e+00	2.987371e-02	
